"","","","1’7Sm/“4Nd","l’sNd/1”Nd",""
"Sample","Sm","Nd","","",""
"","(ppm)","(ppm)","","",""
"LEW-WR","2896(2)","8846(3)","01979(1)","0512664(14)","+051(027)"
"LEW-Plag","004878(7)","02144(10)","01375(6)","0510829(36)","-3529(070)"
"LEW-01","006384(6)","01075(1)","03589(4)","0517527(36)","+9537(070)"
"LEW-PxLt","3845(20)","1013(1)","02297(12)","0513602(14)","$1880(028)"
"LEW-PxDk","6185(2)","17182(5)","02177(1)","0513265(14)","+1221(027)"
"","-","-","","",""
"CHURt","","","01966","0512638","=O"
