"Sample","","“4Sm/‘44Nd","","142Nd/‘44Nd","+:","(0)"
"LEW-WR","004057","(3)","1141834","(34)","000","(030)"
"LEW-Plag","002819","(12)","1141735","(30)","-087","(026)"
"LEW-01","007357","(9)","1142042","(94)","+182","(082)"
"LEW-PxLt","004709","(24)","1141874","(32)","to35","(028)"
"LEW-PxDk","004462","(2)","1141859","(40)","to22","(035)"
"NdLaJolla","","","1141834","(11)","~0",""
"CHURt","004030","","","","",""
