"Sample(AST)","3131a","3131b","3131c","3132a","3273a","3273c","3273e","3084a","3084c","3084f","3135a","3135c"
"Sampling","Contrada","Contrada","Contrada","Contrada","Celle","Celle","Celle","MtSt","MtSt","MtSt","Contrada","Contrada"
"locality","Romano","Romano","Romano","Romano","","","","Angelo","Angelo","Angelo","Romano","Romano"
"Unit,layer$","1,a","1,b","1,c","2,a","3,a","3,c","3,e","4,a","4,c","4,f","5,a","5,c"
"Lithotype","Pumice","Pumice","Pumice","Pumice","Pumice","Pumice","Pumice","Pumice","Pumice","Pumice","Pumice","Pumice"
"","fragments","fragments","fragments","fragments","fragments","fragments","fragments","fragments","fragments","fragments","fragments","fragments"
"Classiﬁcation⁎","Phonolite/","Phonolite","Phonolite","Phonolite","Trachyte","Phonolite","Phonolite","Phonolite","Phonolite","Phonolite","Phonolite","Phonolite"
"","trachyte","","","","","","","","","","",""
"SiO2","5721","5764","5761","5751","5786","5770","5734","5709","5730","5741","5731","5708"
"TiO2","046","046","048","045","044","045","046","047","047","046","047","048"
"Al2O3","1832","1848","1846","1844","1851","1850","1852","1851","1849","1845","1866","1858"
"Fe2O3tot","441","429","448","428","416","420","446","447","439","426","448","454"
"MnO","012","012","013","012","012","012","012","012","012","012","012","012"
"MgO","086","085","087","082","077","081","094","093","090","089","097","102"
"CaO","326","310","306","310","302","304","342","339","326","320","349","362"
"Na2O","406","401","423","406","409","409","394","394","393","397","391","388"
"K2O","804","815","804","823","836","833","831","814","823","829","826","828"
"P2O5","016","017","016","017","015","017","018","017","015","016","018","020"
"LOI","300","264","235","271","242","250","225","269","268","270","209","215"
"Total","9990","9991","9987","9989","9990","9991","9994","9992","9992","9991","9994","9995"
"Be","130","122","134","125","123","126","112","116","121","123","104","110"
"V","67","67","66","67","63","65","72","73","72","75","77","79"
"Cr","521","bdl","bdl","589","585","551","bdl","523","568","629","bdl","bdl"
"Co","536","532","499","504","474","480","567","562","551","560","600","602"
"Cu","915","893","933","898","875","848","852","954","941","1124","944","955"
"Zn","87","83","89","84","82","84","83","90","91","91","87","79"
"Ga","206","205","203","195","185","198","199","201","205","196","203","191"
"Ge","149","138","148","142","141","137","140","135","134","140","137","130"
"As","260","251","270","267","252","262","232","256","251","245","227","215"
"Rb","362","360","357","357","346","357","331","341","343","345","337","325"
"Sr","415","466","346","439","435","447","533","512","513","512","591","587"
"Y","305","296","321","301","290","297","290","303","297","290","296","273"
"Zr","404","398","413","391","377","390","374","369","382","370","371","341"
"Nb","53","52","54","51","49","50","48","50","50","49","47","46"
"Mo","591","566","621","575","539","571","505","556","558","553","516","467"
"Sn","458","485","444","452","470","493","472","421","449","463","414","417"
"Sb","120","139","123","129","116","127","119","124","123","112","107","107"
"Cs","246","236","250","232","230","233","224","225","226","229","222","214"
"Ba","410","515","286","460","460","468","665","586","589","618","766","823"
"La","84","80","82","77","75","78","78","79","78","79","77","75"
"Ce","158","148","154","147","143","145","146","145","145","150","145","143"
"Pr","166","155","162","155","152","154","158","157","156","157","152","155"
"Nd","59","57","59","56","53","53","55","56","56","54","54","55"
"Sm","1038","988","1005","919","907","957","976","1018","984","963","943","956"
"Eu","198","208","194","194","203","201","224","223","223","196","217","236"
"Gd","820","724","755","715","715","685","704","733","726","777","759","715"
"Tb","112","104","111","096","101","098","104","103","107","110","096","099"
"Dy","597","544","547","527","529","521","568","606","577","558","584","564"
"Ho","101","096","104","094","098","094","099","102","104","104","093","098"
"Er","303","287","323","263","272","275","273","274","289","299","278","265"
"Tm","043","042","045","044","042","043","043","039","039","047","042","038"
"Yb","315","297","336","308","292","284","301","290","295","314","296","288"
"Lu","047","048","047","040","045","041","042","042","043","045","039","037"
"Hf","862","829","885","845","831","835","852","859","843","838","811","777"
"Ta","341","325","367","319","325","320","327","324","326","321","302","304"
"W","730","717","814","752","798","763","733","705","693","768","682","697"
"Pb","59","58","62","59","58","58","57","56","55","58","52","53"
"Bi","040","036","035","040","034","033","034","039","031","030","031","033"
"Th","397","372","427","381","379","381","351","335","344","378","332","332"
"U","130","120","136","119","120","118","108","111","112","115","105","108"
"DI","8000","8052","8071","8085","8150","8130","7941","7915","7977","8035","7885","7842"
