"SampleNo","Rock-type","i43Nd/144Nd(+-2~)Sm(ppm)Nd(ppm)","","","4VSm/14~Nd","","e~dmeasendinitial"
"BRI/12","Trachyandesite","0511781±6","1802","9454","011524","-1696","+26"
"8759-8021tTrachyte","","0511675±6","4089","2277","010857","-1901","+21"
"BRIT/3","Trachydacite","0511940±6","5077","2337","013134","-1384","+18"
"8759-8001""NiobiumTuff","","0514966±6","3836","6061","038296","+4521","+04"
"8759-8001","Duplicate","0514896±6","3708","5968","037583","+4381","+07"
"BRI/LT","NiobiumTuff","0515911±8","5546","7317","045863","+6361","+07"
"BRI/LT","Duplicate","0515938±7","5562","7331","045910","+6414","+12"
"BRI/S","Sediment","0511509±6","1056","5213","012247","-2225","-45"
