"","Qtz","C a - F s p","A l k - F s p","H y p ~","T i - M g t","A p","Z i r c o n","A l l a n i t e"
"Ba","","2.8","1.0","0.02","0.03","0.45","-","20"
"8r","","2.5","0.8","0.i","0.15","5","-","I00"
"Eu","","1.2","0.6","0.8","0.07","30","-","81"
"Ga~","","1.0","0.6","0.i","0.i0","0.I","-","-"
"Be~","0.i","0.9","0.3","0,i","0.01","0.2","-","-"
"Rb","","0.3","0.9","0.006","0.04","0.2","-","-"
"La","","0.07","0.0007","0.14","0.07","27","1","820"
"Ce","","0.035","0.0005","0.24","0.07","31","1","635"
"N d","","0.018","0.0004","0.44","0.07","34","1","467"
"Sm","","0 . 0 0 9","0.0004","0.8","0.08","38","5","205"
"Tb","","0 . 0 0 3 5","0.0002","0.95","0.07","30","50","71"
"Ho","","0. 003","0. 0002","0.83","0.07","20","200","25"
"Y","","0.003","0.0002","0.76","0.08","17","250","15"
"Yb","","0.003","-","0.7","0.05","i0","400","9"
"Lu","","0 . 0 0 2 4","-","0.7","0.08","7","450","8"
"Hf","","0.001","-","0.I","0.3","0.07","1600","-"
"Nb","","0.001","-","0.02","2.8","0.05","5","-"
"Ta","","0.001","-","0.02","2.2","0.05","5","-"
"Th","","0.001","-","0.005","0.02","1.6","60","168"
