"Sample","Smppm","Ndppm","147Sm/144Nd","143Nd/144Nd","sa","fSm/Ndb","age(Ma)","~i~"
"GR-036","493","2164","01382","0512211","-84","-02974","155","-72"
"GR-006","704","3805","01180","0512141","-97","04001","155","-81"
"GR-004","828","4264","01174","0512103","-104","-04032","155","-88"
"BR-001","627","2924","01296","0512257","74","-03411","155","-61"
"GR-018d","817","4911","01206","0512157","-94","-03869","142","-80"
"GR-030d","759","4378","01048","0512118","-101","-04672","142","-84"
"GR-023d","1169","6247","01131","0512054","-114","-04250","142","-99"
