"Fraction","Uppm","Pbppm","2~","","Date(Ma)""","2~","","Date(Ma)b","2~176","Date(Ma)"
"-63","5132","140","00234903","1497(cid:127)","02","0160574","1512(cid:127)","05","00495777","1752_76"
"+102","2073","60","00242445","1544(cid:127)","02","0164514","1547(cid:127)","05","00492139","1580_+73"
