"","","MiniF2F",""
"Method","","","Overall"
"","valid","test",""
"FMSCL(Poluetal,2022)","336","296","316"
"Auto(Wuetal,2022)","373","352","363"
"ReProver(Yangetal,2023)","-","265","-"
"DSP(Jiangetal,2022b)","439","377","408"
"DeEnigma(Zhaoetal,2023)","48","455","468"
"GPT4(OpenAI,2023)","566","512","539"
"MathAgent-M","623","615","619"
"","(+57)","(+103)","(+80)"
"MathAgent-H","656","668","662"
"","(+90)","(+156)","(+123)"
