"Action","Description"
"disprove","’disprove’involvesnegationorcounterproof"
"calculate","’calculate’focusoncalculationorformuladerivation"
"induce","’induce’isusingmathematicalinduction"
"classify","’classify’isusingclassificationdiscussionwithfinitecases"
"infer","’infer’isgeneraltext-basedreasoningwhenotheractionsarenotapplicable"
"analyze","’analyze’guidestheexplorationviadiscussionoranalysis"
"rethink","’rethink’meansthinkoutsidethebox"
"associate","’associate’seeksapplicabletheoremsandformulas"
"construct","’construct’designsauxiliaryconditionsorvariables"
