"Sample","25-AF","10AFK3","AFK","AFK-1","AFK-2","AFK-5","10AFK1","10AFK2","10AFK4","10AFK5","P07-21","P07-26","25-AF","10AFK3","AFK-1","10AFK4","P07-21","P07-22","P07-23"
"Mineral","Prv","Prv","Prv","Prv","Prv","Prv","Prv","Prv","Prv","Prv","Prv","Prv","Ap","Ap","Ap","Ap","Ap","Ap","Ap"
"SiO2","","","","","","","","","","","","","061","035","014","070","059","080","060"
"TiO2","5733","5633","5400","5334","5387","5416","5741","5566","5583","5578","5676","5757","","","","","","",""
"Al2O3","010","015","019","017","017","016","012","018","014","019","009","005","","","","","","",""
"FeO","093","118","164","156","150","147","097","135","116","136","092","068","","","","","","",""
"CaO","3881","3726","3570","3665","3665","3733","3889","3729","3673","3681","3715","3917","5475","5299","5327","5468","5426","5451","5423"
"Na2O","037","057","093","079","083","072","038","058","073","058","077","051","","016","023","","","",""
"P2O5","","","","","","","","","","","","","4088","4083","4198","4037","4079","4060","4079"
"Total","9754","9549","9246","9251","9302","9384","9777","9506","9459","9472","9569","9798","9624","9433","9562","9575","9564","9591","9562"
"Rb","018","016","065","045","042","041","021","022","013","013","020","016","025","024","023","026","027","024","028"
"Sr","3569","3014","3087","2776","2765","2783","2536","2792","2362","2421","3480","2184","5226","4177","4611","4273","7107","5751","6206"
"Ba","28","14","20","14","17","15","12","26","12","13","18","50","19","73","19","14","20","18","17"
"Nb","6003","7567","13,240","8493","9192","8762","5115","6729","7584","8034","9373","10,049","027","037","112","014","030","077","093"
"Ta","221","366","687","383","390","358","301","307","293","305","449","352","005","005","67","005","005","005","005"
"Zr","147","139","390","285","301","297","284","263","211","299","151","207","37","10","73","066","70","11","11"
"Hf","54","44","79","62","62","58","89","85","52","71","34","47","028","029","17","030","030","029","032"
"Pb","14","25","43","68","37","33","20","22","23","27","16","14","17","11","90","21","15","19","22"
"Th","192","851","2038","1003","1118","905","593","614","602","794","328","92","18","12","12","38","36","50","35"
"U","69","86","185","179","164","163","74","80","121","126","75","177","34","15","072","13","37","70","53"
"La","5988","8276","12,069","9770","10,007","10,162","7214","8579","8253","9127","6616","1744","1435","1028","3252","3000","1302","1950","1841"
"Ce","9313","17,314","29,262","21,637","22,653","21,824","13,779","16,963","17,234","20,155","14,991","4568","1811","1568","6818","6437","2078","3250","3171"
"Pr","832","1714","3356","2245","2380","2228","1385","1686","1740","2074","1620","616","156","158","866","752","207","330","328"
"Nd","2665","5660","11,096","7637","8199","7463","4608","5582","5832","7077","5607","2597","394","454","3486","2837","666","1108","1096"
"Sm","368","630","1051","840","907","824","534","629","648","794","662","439","76","86","545","371","92","129","130"
"Eu","112","159","231","201","217","200","143","162","158","187","162","122","22","23","142","84","23","31","30"
"Gd","228","310","468","380","417","382","277","305","309","368","323","266","65","72","326","212","68","82","82"
"Tb","24","30","43","36","40","36","28","29","29","34","33","27","72","79","32","20","71","77","77"
"Dy","93","114","169","132","142","128","106","106","108","126","132","107","31","36","118","72","31","31","30"
"Ho","12","15","21","16","17","16","15","13","13","15","17","14","50","58","15","94","51","45","44"
"Er","19","24","34","27","28","25","25","21","22","25","31","25","89","108","26","142","94","78","75"
"Tm","15","19","27","22","22","19","21","16","17","19","26","21","087","11","22","12","098","079","074"
"Yb","66","82","11","94","88","83","98","70","77","85","12","11","43","60","93","53","52","41","37"
"Lu","056","068","092","072","072","070","084","056","062","069","10","088","046","068","098","046","060","048","040"
"Y","162","199","302","246","252","236","226","171","210","222","252","253","95","120","262","138","106","95","96"
