"","","Example","Frequency"
"","Ti:(PersonA,IsMarriedTo,PersonB)","(HillaryClinton,IsMarriedTo,BillClinton)",""
"","","","314"
"","Tj:(PersonB,IsMarriedTo,PersonA)","(BillClinton,IsMarriedTo,HillaryClinton)",""
"","Ti:(LocationA,UsesLanguage,LanguageB)","(Brazil,UsesLanguage,PortugueseLanguage)",""
"⟨Ti,EquivalentTo,Tj⟩","","","120"
"","Tj:(LanguageB,IsSpokenIn,LocationA)","(PortugueseLanguage,IsSpokenIn,Brazil)",""
"","Ti:(PersonA,Influences,PersonB)","(BaruchSpinoza,Influences,ImmanuelKant)",""
"","","","394"
"","Tj:(PersonB,IsInfluencedBy,PersonA)","(ImmanuelKant,IsInfluencedBy,BaruchSpinoza)",""
"","Ti:(LocationA,HasOfficialLanguage,LanguageB)","(Italy,HasOfficialLanguage,ItalianLanguage)",""
"","","","196"
"","Tj:(LocationA,UsesLanguage,LanguageB)","(Italy,UsesLanguage,ItalianLanguage)",""
"⟨Ti,ImpliesLanguage,Tj⟩","","",""
"","Ti:(LocationA,UsesLanguage,LanguageB)","(UnitedStates,UsesLanguage,EnglishLanguage)",""
"","","","75"
"","Tj:(LocationinA,UsesLanguage,LanguageB)","(California,UsesLanguage,EnglishLanguage)",""
"","Ti:(WorkA,MusicComposedBy,PersonB)","(ForrestGump,MusicComposedBy,AlanSilvestri)",""
"","","","553"
"","Tj:(PersonB,IsA,Musician/Composer)","(AlanSilvestri,IsA,Composer)",""
"","Ti:(WorkA,Starring,PersonB)","(LoveActually,Starring,LiamNeeson)",""
"","","","737"
"","Tj:(PersonB,IsA,Actor)","(LiamNeeson,IsA,Actor)",""
"","Ti:(WorkA,CinematographyBy,PersonB)","(JurassicPark,CinematographyBy,DeanCundey)",""
"","","","299"
"","Tj:(PersonB,IsA,Cinematographer)","(DeanCundey,IsA,Cinematographer)",""
"⟨Ti,ImpliesProfession,Tj⟩","","",""
"","Ti:(WorkA,IsDirectedBy,PersonB)","(Psycho,IsDirectedBy,AlfredHitchcock)",""
"","","","295"
"","Tj:(PersonB,IsA,FilmDirector/TelevisionDirector)","(AlfredHitchcock,IsA,FilmDirector)",""
"","Ti:(WorkA,IsProducedBy,PersonB)","(KingKong,IsProducedBy,MerianCCooper)",""
"","","","354"
"","Tj:(PersonB,IsA,FilmProducer/TelevisionProducer)","(MerianCCooper,IsA,FilmProducer)",""
"","Ti:(PersonA,AssociatesWithRecordLabel,RecordB)","(BoDiddley,AssociatesWithRecordLabel,AtlanticRecords)",""
"","","","155"
"","Tj:(PersonA,IsA,RecordProducer)","(BoDiddley,IsA,RecordProducer)",""
"","Ti:(LocationA,IsPartOf,LocationB)","(AnnArbor,IsPartOf,WashtenawCountyMichigan)",""
"","","","1,174"
"","Tj:(LocationA,IsPartOf,LocationContainingB)","(AnnArbor,IsPartOf,Michigan)",""
"","Ti:(OrganizationA,IsLocatedIn,LocationB)","(AdobeSystems,IsLocatedIn,SanJoseCalifornia)",""
"⟨Ti,ImpliesLocation,Tj⟩","","","250"
"","Tj:(OrganizationA,IsLocatedIn,LocationContainingB)","(AdobeSystems,IsLocatedIn,California)",""
"","Ti:(PersonA,LivesIn,LocationB)","(MariahCarey,LivesIn,NewYorkCity)",""
"","","","213"
"","Tj:(PersonA,LivesIn,LocationContainingB)","(MariahCarey,LivesIn,NewYork)",""
"","Ti:(LocationA,TimeZone,TimeZoneB)","(CzechRepublic,TimeZone,CentralEuropeanTime)",""
"⟨Ti,ImpliesTimeZone,Tj⟩","","","409"
"","Tj:(LocationinA,TimeZone,TimeZoneB)","(Prague,TimeZone,CentralEuropeanTime)",""
"","Ti:(MusicianA,Genre,GenreB)","(PharrellWilliams,Genre,ProgressiveRock)",""
"⟨Ti,ImpliesGenre,Tj⟩","","","767"
"","Tj:(MusicianA,Genre,ParentGenreofB)","(PharrellWilliams,Genre,RockMusic)",""
"","Ti:(PersonA,StudiesIn,InstitutionB)","(GeraldFord,StudiesIn,UniversityofMichigan)",""
"⟨Ti,NextAlmaMater,Tj⟩","","","112"
"","Tj:(PersonA,StudiesIn,InstitutionC)","(GeraldFord,StudiesIn,YaleUniversity)",""
"","Ti:(PersonA,PlaysFor,TeamB)","(Ronaldo,PlaysFor,FCBarcelona)",""
"⟨Ti,TransfersTo,Tj⟩","","","300"
"","Tj:(PersonA,PlaysFor,TeamC)","(Ronaldo,PlaysFor,InterMillan)",""
