"","","Example","Frequency"
"","Ti:(PersonA,DatesWith,PersonB)","(BruceWillis,DatesWith,DemiMoore)",""
"","","","222"
"","Tj:(PersonA,BreaksUpWith,PersonB)","(BruceWillis,BreaksUpWith,DemiMoore)",""
"","Ti:(AwardA,Nominates,WorkB)","(BAFTAAward,Nominates,TheKing’sSpeech)",""
"⟨Ti,PrerequisiteFor,Tj⟩","","","2,335"
"","Tj:(WorkB,Wins,AwardA)","(TheKing’sSpeech,Wins,BAFTAAward)",""
"","Ti:(PersonA,HasNationality,CountryB)","(Neymar,HasNationality,Brazil)",""
"","","","109"
"","Tj:(PersonA,PlaysFor,NationalTeamofB)","(Neymar,PlaysFor,BrazilNationalFootballTeam)",""
"","Ti:(PersonA,IsASiblingTo,PersonB)","(SerenaWilliams,IsASiblingTo,VenusWilliams)",""
"","","","120"
"","Tj:(PersonB,IsASiblingTo,PersonA)","(VenusWilliams,IsASiblingTo,SerenaWilliams)",""
"","Ti:(PersonA,IsMarriedTo,PersonB)","(HillaryClinton,IsMarriedTo,BillClinton)",""
"","","","352"
"","Tj:(PersonB,IsMarriedTo,PersonA)","(BillClinton,IsMarriedTo,HillaryClinton)",""
"⟨Ti,EquivalentTo,Tj⟩","","",""
"","Ti:(PersonA,HasAFriendshipWith,PersonB)","(BobDylan,HasAFriendshipWith,TheBeatles)",""
"","","","1,832"
"","Tj:(PersonB,HasAFriendshipWith,PersonA)","(TheBeatles,HasAFriendshipWith,BobDylan)",""
"","Ti:(PersonA,IsAPeerOf,PersonB)","(JimiHendrix,IsAPeerOf,EricClapton)",""
"","","","132"
"","Tj:(PersonB,IsAPeerOf,PersonA)","(EricClapton,IsAPeerOf,JimiHendrix)",""
"","Ti:(LocationA,Contains,LocationB)","(England,Contains,Warwickshire)",""
"","","","2,415"
"","Tj:(LocationcontainingA,Contains,LocationinB)","(UnitedKingdom,Contains,Birmingham)",""
"","Ti:(OrganizationA,Headquarter,LocationB)","(KyotoUniversity,Headquarter,Kyoto)",""
"⟨Ti,ImpliesLocation,Tj⟩","","","820"
"","Tj:(LocationB,Contains,OrganizationA)","(Kyoto,Contains,KyotoUniversity)",""
"","Ti:(CountryA,CapitalIsLocatedIn,CityB)","(Sweden,CapitalIsLocatedIn,Stockholm)",""
"","","","83"
"","Tj:(CountryA,Contains,CityB)","(Sweden,Contains,Stockholm)",""
"","Ti:(PersonA,IsA,SpecializedProfessionofB)","(MariahCarey,IsA,Singer-songwriter)",""
"","","","2,364"
"","Tj:(PersonA,IsA,ProfessionB)","(MariahCarey,IsA,Musician)",""
"","Ti:(Rock&RollHallofFame,Inducts,PersonA)","(Rock&RollHallofFame,Inducts,BobDylan)",""
"","","","66"
"","Tj:(PersonA,IsA,Musician/Artist)","(BobDylan,IsA,Musician)",""
"","Ti:(FilmA,IsWrittenBy,PersonB)","(127Hours,IsWrittenBy,DannyBoyle)",""
"⟨Ti,ImpliesProfession,Tj⟩","","","893"
"","Tj:(PersonB,IsA,Writer/FilmProducer)","(DannyBoyle,IsA,Filmproducer)",""
"","Ti:(PersonA,ActsIn,FilmB)","(LiamNeeson,ActsIn,LoveActually)",""
"","","","10,864"
"","Tj:(PersonA,IsA,Actor)","(LiamNeeson,IsA,Actor)",""
"","Ti:(PersonA,HoldsPosition,GovernmentPositionB)","(BarackObama,HoldsPosition,President)",""
"","","","120"
"","Tj:(PersonA,IsA,Politician)","(BarackObama,IsA,Politician)",""
"","Ti:(TeamA,HasPosition,PositionofB)","(BostonRedSocks,HasPosition,Infield)",""
"","","","2,936"
"","Tj:(TeamA,Plays,SportsB)","(BostonRedSocks,Plays,Baseball)",""
"","Ti:(LeagueofA,Includes,TeamB)","(NationalLeague,Includes,NewYorkMets)",""
"⟨Ti,ImpliesSports,Tj⟩","","","824"
"","Tj:(TeamB,Plays,SportsA)","(NewYorkMets,Plays,Baseball)",""
"","Ti:(TeamA,ParticipatesIn,DraftofB)","(AtlantaBraves,ParticipatesIn,MLBDraft)",""
"","","","528"
"","Tj:(TeamA,Plays,SportsB)","(AtlantaBraves,Plays,Baseball)",""
"","Ti:(EventA,IsHeldIn,LocationA)","(1932SummerOlympics,IsHeldIn,LosAngeles)",""
"⟨Ti,NextEventPlace,Tj⟩","","","47"
"","Tj:(NextEventofA,IsHeldIn,LocationB)","(1936SummerOlympics,IsHeldIn,Berlin)",""
"","Ti:(PersonA,HoldsPosition,VicePresident)","(JoeBiden,HoldsPosition,VicePresident)",""
"⟨Ti,WorksFor,Tj⟩","","","13"
"","Tj:(PersonB,HoldsPosition,President)","(BarackObama,HoldsPosition,President)",""
"","Ti:(PersonA,HoldsPosition,President/VicePresident)","(GeorgeWBush,HoldsPosition,President)",""
"⟨Ti,SucceededBy,Tj⟩","","","30"
"","Tj:(PersonB,HoldsPosition,President/VicePresident)","(BarackObama,HoldsPosition,President)",""
"","Ti:(PersonA,PlaysFor,TeamB)","(DavidBeckham,PlaysFor,RealMadridCF)",""
"⟨Ti,TransfersTo,Tj⟩","","","377"
"","Tj:(PersonA,PlaysFor,TeamC)","(DavidBeckham,PlaysFor,LAGalaxy)",""
"","Ti:(ItemA,IsRankedIn,RankingListC)","(Walmart,IsRankedIn,Fortune500)",""
"⟨Ti,HigherThan,Tj⟩","","","7,459"
"","Tj:(ItemB,IsRankedIn,RankingListC)","(BankofAmerica,IsRankedIn,Fortune500)",""
