"","","FBH","","","FBHE","","","DBHE",""
"","","MR(↓)MRR(↑)Hit@10(↑)MR(↓)MRR(↑)Hit@10(↑)MR(↓)MRR(↑)Hit@10(↑)","","","","","","",""
"QuatE*","1637","0346","0494","15464","0124","0189","5516","0208","0309"
"BiQUE*","1110","0423","0641","901","0387","0617","295","0378","0677"
"Neural-LP*","1859","0433","0648","1462","0466","0716","322","0517","0756"
"DRUM*","2627","0394","0555","2076","0413","0620","490","0470","0732"
"AnyBURL*","2285","0380","0563","1660","0418","0607","817","0403","0594"
"BiVE-Q","433","0826","0948","656","0761","0886","269","0852","0971"
"BiVE-B","534","0836","0940","749","0761","0872","291","0858","0967"
"NestE-Q(Ours)","170","0930","0986","289","0863","0948","168","0930","0987"
"NestE-H(Ours)","168","0909","0987","287","0843","0945","182","0912","0986"
"NestE-S(Ours)","154","0925","0991","304","0850","0941","176","0910","0988"
"NestE-QB(Ours)","171","0935","0987","300","0865","0949","170","0931","0986"
"Fact-HB(Ours)","160","0924","0989","276","0855","0950","192","0918","0981"
"NestE-SB(Ours)","152","0934","0991","261","0867","0951","172","0919","0990"
