"","","FBHE","","","DBHE",""
"","","MR(↓)MRR(↑)Hit@10(↑)MR(↓)MRR(↑)Hit@10(↑)","","","",""
"NestE-Q(λ1=0)","13538","0368","0604","79997","0281","0431"
"NestE-Q(λ1=05)","13172","0365","0605","74975","0284","0446"
"NestE-H(λ1=0)","15475","0347","0589","92234","0267","0420"
"NestE-H(λ1=05)","15300","0349","0593","86882","0266","0423"
"NestE-S(λ1=0)","15184","0347","0589","91016","0272","0427"
"NestE-S(λ1=05)","14964","0350","0592","89585","0272","0432"
