"","","FBH","","","FBHE","","","DBHE",""
"","MR(↓)MRR(↑)Hit@10(↑)MR(↓)MRR(↑)Hit@10(↑)MR(↓)MRR(↑)Hit@10(↑)","","","","","","","",""
"BiVE-Q","620","0855","0941","835","0711","0866","363","0687","0958"
"BiVE-H(Ours)","670","0838","0934","816","0687","0850","427","0648","0935"
"BiVE-S(Ours)","613","0824","0938","828","0677","0850","485","0645","0926"
"BiVE-B","863","0833","0924","953","0705","0860","466","0718","0945"
"BiVE-HB(Ours)","765","0803","0919","1054","0675","0834","640","0703","0922"
"BiVE-SB(Ours)","977","0799","0914","983","0678","0853","758","0712","0914"
