"EmbeddingType","SQA","FEVEROUS","TabFact","HybridQA","ToTTo","Spider"
"text-embedding-ada-002","2832%","6332%","5980%","2432%","4914%","8027%"
"text-embedding-ada-001","2712%","6224%","5732%","2314%","4821%","7934%"
"bge-large-en[62]","2676%","6287%","5631%","2265%","4732%","7825%"
"sentence-transformer[51]","2632%","6331%","5894%","2378%","5012%","8005%"
