"StatisticsFeaturesType","SQA","FEVEROUS","TabFact","HybridQA","ToTTo","Spider"
"Progressionfeatures","2920%","6426%","6045%","2511%","4953%","7747%"
"Stringfeatures","2856%","6313%","6138%","2483%","4829%","7356%"
"Numberrangefeatures","2913%","6218%","5903%","2453%","4968%","7632%"
"Distributionfeatures","3028%","6634%","6218%","2476%","4934%","7914%"
"Statisticsfeatures","3122%","6651%","6233%","2613%","5057%","8094%"
