"Sample","ppmRb","ppmSr","87Sr/86Sr","2σerror","87Sr/86Sr(t)","ppmSm","ppmNd","143Nd/144Nd","2σerror","143Nd/144Nd(t)","εNd","εNd(t)","TDM(Ga)"
"FLPDAT","150","198","072511","000002","071424","1061","5793","0512295","0000011","0512043","−669","−288","110"
"FLPCG","124","126","072680","000001","071246","12444","55121","0512485","0000008","0512179","−298","−036","109"
"CMDAT","–","–","–","–","–","446","2204","0512255","0000005","0511979","−747","−420","13"
"FLE10","59","134","073034","000004","072402","375","1929","0512305","0000008","0512039","−650","−302","117"
"CTSC1","137","46","075580","000002","071291","572","2013","0512355","0000006","0511967","−552","−443","251"
"LPSUR","–","–","–","–","–","568","2846","0512303","0000010","0512030","−653","−319","121"
