"","","","","FastDownward","",""
"","","TaskVariant","","","",""
"","","","Transl(s)","Search(ms)","Total(s)","Ground(s)"
"","","Easy","4180±015","680±055","4191±017","1164±013"
"","","move","","","",""
"","","Medium","23769±086","1460±588","23768±071","7343±094"
"","","Hard","—","—","—","—"
"","","Easy","34121±212","49736±367","34196±208","1183±014"
"","pickup","","","","",""
"","","Medium","—","—","—","7218±034"
"","diamond","","","","",""
"","","Hard","—","—","—","—"
"","","Easy","34376±066","48164±145","34443±066","1226±075"
"","gather","","","","",""
"","","Medium","—","—","—","7182±067"
"","","wood","","","",""
"","","Hard","—","—","—","—"
"Entriesmarked>72e6indicatethattheplannertimedout","","Easy","78631±203","7528±281","79221±198","1281±003"
"","","place","","","",""
"","","Medium","—","—","—","5849±023"
"","","wood","","","",""
"","","Hard","—","—","—","—"
"","","Easy","34121±212","9937±333","34394±152","1153±011"
"","pickupand","","","","",""
"","","Medium","—","—","—","7379±085"
"","","place","","","",""
"","","Hard","—","—","—","—"
"","","Easy","—","—","—","1176±0075"
"","gathermulti","","","","",""
"","","Medium","—","—","—","7591±072"
"","","wood","","","",""
"","","Hard","—","—","—","—"
"","","Easy","—","—","—","1552±007"
"","","climb","","","",""
"","","Medium","—","—","—","5751±014"
"","","Hard","—","—","—","—"
"","","Easy","—","—","—","7290±121"
"","","cut","","","",""
"—,noresultcouldbeobtainedbecausetheplannerfailedtotranslate(inthecaseofFastDownward)orground(forENHSP-20)","Table3:TherunningtimesforFastDownwardandENHSP-20whenrunontheMinePlannertasksuiteForresultsmarkedas","Medium","—","—","—","—"
"","","tree","","","",""
"","","Hard","—","—","—","—"
"","","Easy","—","—","—","1626±008"
"","","build","","","",""
"","","Medium","—","—","—","8429±301"
"","bridge","","","","",""
"","","Hard","—","—","—","—"
"","","Easy","—","—","—","1504±082"
"","","build","","","",""
"","","Medium","—","—","—","8124±213"
"","","cross","","","",""
"","","Hard","—","—","—","—"
"","","Easy","—","—","—","1320±010"
"","","build","","","",""
"","","Medium","—","—","—","7954±154"
"","","wall","","","",""
"","","Hard","—","—","—","—"
"","","Easy","—","—","—","1304±008"
"","","build","","","",""
"","","Medium","—","—","—","8124±213"
"","","well","","","",""
"","","Hard","—","—","—","—"
"","","Easy","—","—","—","1044±083"
"","","build","","","",""
"","","Medium","—","—","—","6132±025"
"","","shape","","","",""
