"","","","FastDownward","","","ENHSP",""
"Task","Variant","","","","","",""
"","","Transl(s)","Search(ms)","Total(s)","Ground(s)","Search(ms)","Total(s)"
"","Easy","4180","680","4191","1164","2020","2040"
"move","Medium","23769","1460","23768","7343","168000","31720"
"","Hard","—","—","—","—","—","—"
"","Easy","34121","49736","34196","1183","4540","2052"
"pickup","","","","","","",""
"","Medium","—","—","—","7218","49676","19624"
"diamond","","","","","","",""
"","Hard","—","—","—","—","—","—"
"","Easy","34376","48164","34443","1226","1125","2526"
"gather","","","","","","",""
"","Medium","—","—","—","7182","12065","15705"
"wood","","","","","","",""
"","Hard","—","—","—","—","—","—"
"","Easy","78631","7528","79221","1281",">72e6",">72e6"
"place","","","","","","",""
"","Medium","—","—","—","5849",">72e6",">72e6"
"wood","","","","","","",""
"","Hard","—","—","—","—","—","—"
"","Easy","34121","9937","34394","1153","163e6","1655"
"pickupand","","","","","","",""
"","Medium","—","—","—","7379",">72e6",">72e6"
"place","","","","","","",""
"","Hard","—","—","—","—","—","—"
"","Easy","—","—","—","1176","241840","25686"
"gathermulti","","","","","","",""
"","Medium","—","—","—","7591",">72e6",">72e6"
"wood","","","","","","",""
"","Hard","—","—","—","—","—","—"
"","Easy","—","—","—","1552",">72e6",">72e6"
"climb","Medium","—","—","—","5751",">72e6",">72e6"
"","Hard","—","—","—","—","—","—"
"","Easy","—","—","—","7290",">72e6",">72e6"
"cut","","","","","","",""
"","Medium","—","—","—","—","—","—"
"tree","","","","","","",""
"","Hard","—","—","—","—","—","—"
"","Easy","—","—","—","1626",">72e6",">72e6"
"build","","","","","","",""
"","Medium","—","—","—","8429",">72e6",">72e6"
"bridge","","","","","","",""
"","Hard","—","—","—","—","—","—"
"","Easy","—","—","—","1504",">72e6",">72e6"
"build","","","","","","",""
"","Medium","—","—","—","8124",">72e6",">72e6"
"cross","","","","","","",""
"","Hard","—","—","—","—","—","—"
"","Easy","—","—","—","1320",">72e6",">72e6"
"build","","","","","","",""
"","Medium","—","—","—","7954",">72e6",">72e6"
"wall","","","","","","",""
"","Hard","—","—","—","—","—","—"
"","Easy","—","—","—","1304",">72e6",">72e6"
"build","","","","","","",""
"","Medium","—","—","—","8124",">72e6",">72e6"
"well","","","","","","",""
"","Hard","—","—","—","—","—","—"
"","Easy","—","—","—","1044",">72e6",">72e6"
"build","","","","","","",""
"","Medium","—","—","—","6132",">72e6",">72e6"
"shape","","","","","","",""
"","Hard","—","—","—","—","—","—"
"","Easy","—","—","—","1239",">72e6",">72e6"
"collectand","","","","","","",""
"","Medium","—","—","—","6817",">72e6",">72e6"
"buildshape","","","","","","",""
"","Hard","—","—","—","—","—","—"
"","Easy","—","—","—","—","—","—"
"build","","","","","","",""
"","Medium","—","—","—","—","—","—"
"cabin","","","","","","",""
"","Hard","—","—","—","—","—","—"
