"","","","Yelp","","","Gowalla","","Amazon-Books",""
"","Loss","","","","","","","","AverageRI%"
"","","Recall@20","","NDCG@20","Recall@20","NDCG@20","Recall@20","NDCG@20",""
"","biased","691","","567","1817","1461","527","422","-"
"CCL","debiased","698","","571","1842","1497","549","440","-"
"","RI%","101%","","071%","138%","246%","417%","427%","233%"
"","biased","654","","536","1645","1343","460","356","-"
"InfoNCE","debiased","666","","545","1657","1372","465","366","-"
"","RI%","183%","","168%","073%","216%","109%","281%","172%"
"","MINE","656","","537","1693","1428","500","393","-"
"MINE","RI%","","","","","","","",""
"","","031%","","019%","292%","633%","870%","1039%","480%"
"(ours)","(wrtbiasedinfoNCE)","","","","","","","",""
"","MINE+","720","","592","1853","1570","531","414","-"
"","RI%","","","","","","","",""
"","","1009%","","1045%","1264%","1690%","1543%","1629%","1363%"
"","(wrtbiasedinfoNCE)","","","","","","","",""
