"Sample","T(Ma)","Rb","Sr","87Rb/86Sr","87Sr/86Sr","2δ","87Sr/86Sr(i)","Sm","Nd","147Sm/144Nd","143Nd/144Nd","2δ","143Nd/144Nd(i)","εNd(t)","TDM(Ga)"
"805-25","167","119","874","04002","0705050","6","0704958","370","2258","00997","0512626","5","0512615","-004","071"
"805-26","","124","825","04401","0705065","7","0704956","273","1701","00977","0512641","5","0512630","028","067"
"803-30","","109","1156","02775","0705120","4","0705053","444","3070","00878","0512642","5","0512632","032","062"
"803-31","","145","590","07212","0705193","5","0705019","257","1608","00970","0512628","5","0512618","003","069"
"803-33","169","125","694","05290","0705092","5","0704965","291","1784","00993","0512639","4","0512628","023","068"
"803-35","170","108","936","03396","0705036","5","0704954","346","2152","00977","0512640","5","0512629","025","067"
"803-36","","125","837","04388","0705124","6","0705016","356","2163","01000","0512644","5","0512633","033","068"
"2009-37","166","918","932","02888","0704975","4","0704904","377","2322","00988","0512640","5","0512629","025","068"
"609-38","167","994","970","03005","0705016","6","0704944","347","2111","00999","0512659","12","0512648","061","066"
