"","","ACM","DBLP","","","Amazon","","Yelp"
"","Val","Test","Val","Test","Val","Test","Val","Test"
"GCN","9247±045","9033±059","5962±131","8303±093","7896±006","7812±006","9043±012","9162±011"
"GAT","9259±019","9125±027","6036±077","8434±094","7500±077","7543±007","8546±006","8551±020"
"RGCN","9212±049","9125±050","8677±059","9366±076","7477±010","7385±012","8893±019","8863±017"
"HAN","9320±042","9116±027","8501±029","9212±020","7437±037","7596±023","8935±023","8964±020"
"HGT","8912±066","8893±038","8492±043","9297±020","7569±076","7430±002","9122±015","9173±020"
"MAGNN","9213±039","9130±038","8713±032","9357±020","7524±038","7590±033","9134±020","9050±030"
"Random","9296±031","9170±046","8605±072","9350±044","7870±012","7784±011","9151±069","9203±079"
"Graphnas","9173±047","9089±054","7907±020","7549±034","7778±016","7821±021","9144±022","9134±010"
"HGNAS","9356±028","9145±010","8615±053","9357±036","7930±022","7858±019","9239±029","9212±014"
"GHGNAS","9369±050","9237±019","8672±047","9384±021","7990±018","7916±015","9278±016","9280±015"
"Random(avg)","9229±056","9089±074","8546±120","9324±213","7828±129","7752±137","9057±225","9103±174"
"Graphnas(avg)","9127±109","9071±102","7663±171","7330±182","7772±035","7764±032","9070±044","9122±029"
"HGNAS(avg)","9257±034","9121±063","8553±169","9135±136","7919±040","7850±039","9220±035","9196±021"
"GHGNAS(avg)","9311±045","9196±044","8593±028","9354±033","7955±051","7876±036","9233±045","9229±053"
