"Searchspace","Operations"
"Rl","0≤l<nRl⊆R∪RI,"
"HAggr","sum,mean,max,lstm,att"
"","EncdAggr"
"","XsWC"
"","√gcnsum"
"","|N(s,C)||N(t,C)|"
"GNN","gatattXsWC"
"","edgemax(Xs−Xt)WC"
"","sagemaxXsWC"
"","zero0sum"
