"","ACM","DBLP","Amazon","Yelp"
"","Macro-f1","","","AUC"
"GHGNAS","9246±006","9391±021","7914±017","9281±015"
"nodataset","9221±036","9376±033","7803±013","9266±008"
"nooperation","9075±040","9331±064","7238±014","9172±025"
"nostrategy","9211±041","9362±038","7780±008","9262±021"
