"","","DBLP","","ACM"
"seed","Val","Test","Val","Test"
"0","9530±029","9416±010","9226±043","9130±027"
"1","9470±073","9258±020","9190±045","9142±015"
"DiffMG","","","",""
"2","8263±010","8148±030","9334±063","9207±010"
"3","8100±067","8295±044","9051±085","8955±011"
"4","8337±048","8193±021","9263±047","9130±021"
"GHGNAS","9600±036","9392±016","9355±058","9221±021"
"DiffMG(avg)","8740±626","8662±556","9213±094","9113±093"
"GHGNAS(avg)","9542±032","9337±025","9305±038","9180±052"
