"Number","KB119","KB94","KB145","KB100","KB46","KB82","KB59","KB121"
"Centre","Kapus","Emur","Nak","-----","Kapus","Kapus","Enab","LwBas"
"Composition","B","B","B","B","H","H","H","H"
"(Wt%)","","","","","","","",""
"SiO2","4767","4622","4574","4594","4630","4612","4606","4873"
"TiO2","184","274","385","385","383","381","159","358"
"Al2O3","1566","1478","1377","1369","1387","1397","2086","1357"
"Fe2O3","1058","1361","1559","1538","1535","1537","915","1408"
"MnO","015","019","024","022","025","023","013","025"
"MgO","742","668","527","515","483","480","403","407"
"CaO","1187","1136","1015","990","945","947","1252","819"
"Na2O","291","314","348","393","403","414","333","448"
"K2O","096","080","110","110","126","122","041","155"
"P2O5","041","058","099","118","112","115","024","177"
"LOI","055","000","088","000","000","000","169","000"
"Total","10002","10010","10106","10034","10029","10028","10001","10027"
"(ppm)","","","","","","","",""
"Ba","503","407","670","1057","761","810","222","1682"
"Ce","66","90","86","96","104","57","46","140"
"Co","40","42","42","34","44","30","33","22"
"Cr","247","105","95","43","45","29","66","1"
"Cu","71","68","31","45","23","22","52","15"
"La","23","23","33","45","38","39","14","74"
"Nb","25","28","35","38","43","40","13","53"
"Ni","101","46","22","20","7","5","18","5"
"Rb","16","18","21","21","24","26","5","27"
"Sr","590","503","556","570","584","573","550","574"
"Th","281","ND","298","ND","341","418","355","423"
"U","0650","ND","0667","ND","0809","106","0758","0943"
"Y","22","28","40","38","41","40","20","61"
"Zn","53","84","109","99","119","106","40","117"
"Zr","106","121","135","135","162","158","80","188"
