"Sample","206Pb/204Pb","2σ","207Pb/204Pb","2σ","208Pb/204Pb","2σ"
"Calc-alkaline lamprophyres","","","","","",""
"KML1","18.628","0.009","15.581","0.013","38.582","0.015"
"KLM5","18.458","0.014","15.602","0.018","38.451","0.019"
"KLM7","18.458","0.016","15.562","0.015","38.289","0.018"
"KML10","18.611","0.019","15.573","0.025","38.612","0.019"
"KML16","18.382","0.011","15.569","0.015","38.561","0.010"
