"Mineral","Sm","Nd","147Sm/144Nd","143Nd/144Nd"
"Plagioclase","055","81","01099±0003","051156±00002"
"Apatite","42","537","01267±0004","051163±00002"
"Amphibole1","288","300","01553±0005","051174±00002"
"Amphibole2","273","286","01545±0005","051174±00002"
