"Sample","73-84","4-87","GZ-2","LG-2","LG-4"
"SiO2","5160","5310","4507","5080","4972"
"TiO2","097","094","190","177","190"
"Al2O3","1650","2030","1717","1609","1634"
"FeO","791","600","1542","993","995"
"MnO","015","011","012","021","025"
"MgO","652","400","656","444","555"
"CaO","963","830","984","948","894"
"Na2O","229","160","098","285","124"
"K2O","118","190","105","003","114"
"P2O5","024","022","007","025","024"
"LOI","165","325","190","418","433"
"Total","9905","9972","9985","9977","9935"
"Rb","32","64","163","–","464"
"Ba","–","565","405","600","590"
"Sr","2120","3070","450","7950","4850"
"Zr","80","120","340","84","320"
"Y","210","250","203","277","240"
"Nb","820","700","–","–","–"
"Th","175","200","143","529","418"
"Ta","031","049","043","066","047"
"Hf","170","260","464","499","364"
"La","742","1750","2320","1470","1820"
"Ce","1640","3400","4910","3380","3470"
"Pr","210","410","608","452","390"
"Nd","960","1640","2600","2130","1490"
"Sm","257","420","738","640","389"
"Eu","103","120","148","173","197"
"Gd","300","450","830","820","495"
"Tb","045","072","117","121","077"
"Dy","260","420","630","700","468"
"Ho","056","088","129","149","109"
"Er","140","250","334","404","301"
"Tm","020","036","046","056","046"
"Yb","101","200","220","300","260"
"Lu","018","035","034","048","044"
