"Mineral","Sm","Nd","147Sm/144Nd","143Nd/144Nd"
"Plagioclase","0.64","4.6","0.2255 ± .0007","0.51155 ± .00002"
"Biotite","0.16","6.2","0.1622 ± .0005","0.51149 ± .00002"
"Apatite","18","340","0.086 ± .0003","0.51137 ± .00002"
