"Sample no","Sm","Nd","147Sm/144Nd","143Nd/144Nd","εNd(T)"
"47-84","4.03","11.5","0.2119 ± .0006","0.51234 ± .00005","8.09"
"49-84","2.07","5.56","0.2256 ± .0007","0.51236 ± .00004","7.07"
"50-84","1.82","4.82","0.2281 ± .0007","0.51237 ± .00011","7.01"
"57-84","3.33","9.86","0.2045 ± .0006","0.51223 ± .00004","6.70"
"71-84","4.94","22.1","0.1351 ± .0004","0.51189 ± .00005","7.17"
