"Sample","143Nd/144Nd","Error","Nd","Sm","","143Nd/144Nd","","eNd"
"","","","","","147Sm/144Nd","","Error b",""
"ID","(Measured)","(2 s.d.)","(ppm)","(ppm)","","(initial) a","","(CHUR) c"
"OY541-1","0.511797","0.000004","1.198","0.313","0.1579","0.509655","0.000027","−6.16"
"OY541-3a","0.511513","0.000004","1.709","0.389","0.1375","0.509647","0.000024","−6.32"
"OY541-3b","0.511662","0.000004","2.271","0.567","0.1509","0.509615","0.000026","−6.94"
"OY541-4a","0.511638","0.000004","6.519","1.59","0.1474","0.509638","0.000026","−6.49"
"OY541-8","0.511759","0.000004","5.481","1.419","0.1564","0.509636","0.000027","−6.52"
