"feble","1Trace","Element","and","Isotopic","CompositionsoflgnimbriteMatrices","and","Lava%","",""
"Unit","Sample","Type","Asi","lRb1","e7Rbis6Sra7Sria6SrmISrl","2SDm","a7SrissSraf","2SDaf","143Nd/~44Nd"
"FAT%A","","","","","","","","",""
"0”","91GL","DT","129","1230","1083276071203","2","070603","32","051291"
"N","81GL","DT","129","1294","1102070832339","2","070631","14","051269"
"L2","Hi4WR","TL","129","1358","955411070693","3","070518","11","051293"
"K","13HGL","DT","129","1130","508070861644","2","070768","7","051290"
"J","12HGL","DT","129","906","1550169070934","2","070651","12","051289"
"I","19JGL","l-w","129","910","2491056070873","2","070679","14","051290"
"","8HGL","DT","129","1563","2698168071178","2","070685","27","051291"
":,","18fGL","DT","129","956","703070789394","1","070660","7","051291"
"G","3HWR","DT","129","824","640284070527","1","070475","4","051269"
"T6","685WR","BL","118","‘31","003070308“3387","2","070308","","051291"
"Ll","5HWA","TL","129","1150","851391070878","3","070806","3","051289"
"Fup","17JGL","Hv","134","1111","447719070438","1","070353","4","051291"
"Fmid","1UGL","MI","134","560","366443070548","2","070479","3","051291"
"Flow","79GL","DT","134","919","1505177070915","2","070629","11","051289"
"ET","VlBGL","DT","134","976","7853600071301","1","070616","16","051290"
"E","G5GL","HV","134","1672","2362055071075","2","070684","10","051269"
"D","15GGL","DT","136","531","971569070806","2","070499","10","051290"
"C","13GGL","MI","138","1101","1053303071110","2","070903","9","051289"
"B","VI4GL","I-N","139","335","541796070930","1","070575","9","051289"
"A","10DGL","t-w","140","772","599373070466","2","070395","4","051289"
"T4","IIWR","EL","140","421","0148765070337","2","070335","2","051289"
"T4","619WR","BL","140","l25","“925006070334","2","070333","2",""
"0","SGGL","t-w","140","1145","556016071709","2","070465","24","051291"
"0","4GGL","MI","140","629","235775070646","1","070491","5","051290"
"0","TlGL","DT","140","985","573498070711","2","070612","4","051291"
"X","5DGL","DT","140","1701","3318148071297","2","070636","13","051291"
"TL","G2GL","MI","140","896","1092370070978","1","070507","10","051290"
"P2","W6GL","DT","140","690","3355060070356","1","070346","2","051291"
"Vl","VIGL","t-N","141","1300","3189118071098","2","070459","18","051295"
"U","1OBGL","lid","141","1473","2807152070374","1","070344","3","051292"
"R","695WR","BL","141","‘85",",828030070347","2","070341","2","051295"
"R","20GL","lid","141","657","0310703566097","2","070351","2","051295"
"Tl","J9WR","BL","141","153","8723005070333","2","070332","2","051289"
"PI","K8GL","t-t+","141","1267","942389070440","1","070363","3","051293"
"UNITESECTtCN","","","","","","","","",""
"E","646GL","DT","134","1277","644401071424","3","070587","23",""
"E","644GL","DT","134","1138","4667037071526","2","070167","111",""
"E","642GL","DT","134","1258","il33236071230","4","070619","19",""
"E","641GL","DT","134","1188","1103135071258","2","070662","18",""
"E","639GL","DT","134","1265","7055275071324","3","070320","24",""
"E","637GL","DT","134","675","2580713537530","3","069913","31",""
"E","635GL","DT","134","1213","1093206071193","3","070579","16",""
"E","633GL","DT","134","677","211393070907","3","070505","11",""
"E","631GL","DT","134","804","773024071064","2","070488","",""
"E","629GL","HV","134","836","1052308070874","2","070435","",""
"NOTES:","Sample","types:GL=matrixseparate,","","","WR=whole-rock;HV=hydrated","vitrophyre,","DT=deviirified","luff,BL=basaltic",""
"collected","","RbandSranalysed","by","isotopedilutionorXRF","(‘)concentrationsinppm","Agesare","interpolated","fromMcDougall",""
