"Sample","Rock","d18Ocpx","d18Ocpx","d18Ool","87Sr/86Sr","2SE","143Nd/144Nd","2SE","176Hf/177Hf","2SE","206Pb/204Pb","2SE","207Pb/204Pb","2SE","208Pb/204Pb","2SE"
"No","Type","Meas","Calc","Meas","TIMS","ppm","MC-ICP-MS","ppm","MC-ICP-MS","ppm","MC-ICP-MS","","MC-ICP-MS","","MC-ICP-MS",""
"Mutnovsky","","","","","","","","","","","","","","","",""
"N72","B","","","","0703327","10","0513047","18","0283197","8","18375","00031","15512","00031","38151","00031"
"N75","B","","","","0703333","10","0513062","16","0283253","10","18357","00027","15505","00029","38117","00029"
"N73","B","","544","494","0703363","10","0513070","24","0283239","14","18374","00031","15511","00030","38148","00033"
"N71","B","","","","0703307","9","0513071","20","0283220","10","18372","00027","15512","00027","38148","00028"
"N74","B","","548","498","0703336","10","0513063","22","0283258","9","18376","00025","15512","00028","38153","00028"
"N79","BA","","","","0703228","8","0513059","16","0283268","11","18344","00025","15503","00027","38102","00026"
"N94","B","","","","0703318","8","0513080","20","0283274","8","18375","00021","15512","00022","38148","00022"
"N78","BA","","","","0703237","10","0513062","18","—","—","18357","00024","15508","00025","38126","00024"
"N98","BA","","","","0703335","10","0513070","20","—","","18363","00027","15505","00029","38123","00027"
"N77","A","","","","0703302","9","0513070","14","0283254","10","18372","00031","15511","00031","38145","00031"
"Gorely","","","","","","","","","","","","","","","",""
"N69","B","","","","0703164","9","0513043","18","0283214","11","18341","00024","15502","00025","38091","00024"
"N87","BA","535","","","0703231","9","0513049","16","0283212","9","18347","00025","15503","00026","38102","00025"
"N89","BA","513","","","0703234","8","0513040","16","0283203","10","18343","00027","15502","00028","38096","00028"
"N88","BA","","","","0703282","8","0513034","16","0283214","11","18346","00028","15505","00031","38108","00029"
"N67","BA","","","","0703236","7","0513057","14","0283198","10","18349","00029","15504","00028","38107","00028"
"N84","BA","528","","","0703228","8","0513057","14","0283203","9","18346","00027","15503","00028","38103","00027"
"N55","BA","531","","","0703211","9","0513049","14","0283217","10","18346","00030","15503","00032","38104","00031"
"N90","BA","","","","—","—","0513055","14","0283211","13","18348","00028","15504","00029","38106","00028"
"N80","BA","","","","0703208","8","0513066","12","0283211","10","18348","00027","15505","00034","38107","00039"
"N60","TA","","","","0703234","9","0513062","14","0283202","10","18348","00028","15504","00029","38106","00028"
"N86","TA","","","","0703231","8","0513042","16","0283208","10","18350","00031","15505","00038","38110","00045"
"N82","T","","","","—","—","0513049","14","0283213","9","18347","00024","15505","00024","38105","00026"
"N58","R","","","","0703271","10","0513059","14","0283203","9","18339","00027","15503","00031","38095","00031"
"K-AOC","","","","","TIMS","","TIMS","","","","TIMS","","TIMS","","TIMS",""
"881","AM","","","","0702430","5","0513249","2","—","—","17988","00010","153792","00010","37311","00030"
"6539-4","AM","","","","0703851","5","0513187","1","—","","18224","00030","154157","00030","37612","00070"
"D210-1","AM","","","","0703477","5","0513160","2","—","—","18289","00020","153974","00020","37598","00050"
