"Spots","U","Th","Th/U","206Pb","207Pb/206Pb","207Pb/235U","238U/206Pb","207Pb/206Pb","207Pb/235U","206Pb/238U"
"","(ppm)","(ppm)","","(ppm)","±%","±%","±%","Age±σ(Ma)","Age±σ(Ma)","Age±σ(Ma)"
"J11-5-1@1","174","104","06","11","00531±22","03857±27","00527±15","3330±50","3312±76","3310±49"
"J11-5-1@2","88","53","06","6","00518±31","03715±34","00520±15","2757±69","3208±94","3275±50"
"J11-5-1@3","210","190","09","14","00524±29","03721±32","00515±15","3046±64","3212±89","3259±49"
"J11-5-1@4","412","318","08","27","00528±15","03663±21","00503±15","3214±33","3169±57","3163±47"
"J11-5-1@5","553","942","17","47","00525±14","03860±21","00533±15","3087±32","3314±59","3373±50"
"J11-5-1@6","441","538","12","34","00529±14","03946±20","00541±15","3228±30","3377±58","3400±50"
"J11-5-1@7","204","112","06","13","00518±22","03817±27","00534±15","2779±50","3283±75","3360±50"
"J11-5-1@8","262","176","07","17","00506±30","03559±34","00510±15","2217±69","3092±91","3218±48"
"J11-5-1@9","395","419","11","29","00523±17","03786±23","00525±15","2971±39","3260±64","3304±49"
"J11-5-1@10","249","181","07","16","00534±18","03682±24","00500±15","3455±41","3183±65","3144±47"
"J11-5-1@11","137","79","06","9","00537±24","03835±28","00518±15","3572±53","3296±80","3254±49"
"J11-5-1@12","211","138","07","14","00519±20","03788±25","00530±15","2787±44","3262±69","3334±50"
"J11-5-1@13","254","195","08","16","00540±18","03664±24","00492±15","3718±40","3170±64","3090±46"
"J11-5-1@14","241","201","08","17","00527±21","03865±26","00532±15","3153±47","3318±74","3366±50"
"J11-5-1@15","134","112","08","9","00543±24","03855±29","00515±15","3836±54","3311±81","3231±48"
"J11-5-1@16","196","89","05","12","00519±23","03762±28","00526±15","2800±52","3242±77","3309±49"
"J11-5-1@17","281","182","07","18","00520±17","03677±23","00513±15","2839±39","3179±62","3229±48"
"J11-5-1@18","257","248","10","18","00533±18","03839±23","00522±15","3427±39","3299±66","3280±49"
"J11-5-1@19","165","125","08","11","00545±30","03947±34","00525±15","3910±66","3378±98","3318±50"
"J11-5-1@20","329","240","07","22","00546±15","03950±22","00524±15","3977±34","3380±62","3287±49"
