"Metamorphicrocks","","","","","","","","","","","","","",""
"Amphibolites","","","","","","","","High-gradeparagneissesandmigmatites","","","","","",""
"Sample","SVF202","SVF715","SVF716","SVF609","SVF704","SVF201","SVF581","SVF709","SVF513","SVF611","SVF608","SVF551","SVF579","SVF515"
"Localitya","SVF","LLC","LLC","SVF","LLC","LLC","SVF","LLC","SVF","SVF","SVF","SVF","SVF","SVF"
"Majoroxides(wt%)","","","","","","","","","","","","","",""
"SiO2","4781","4905","5136","5179","5209","5214","5252","5620","5773","6025","6160","6278","6913","7235"
"TiO2","073","123","145","083","118","089","152","119","120","117","102","137","076","070"
"Al2O3","1198","1490","1335","1554","1355","1488","2096","1941","1704","1805","1723","1327","1295","1272"
"Fe2O3","357","099","036","304","270","421","533","416","269","182","327","348","174","364"
"FeO","728","1033","1282","641","908","583","762","600","663","593","476","527","414","306"
"MnO","018","019","022","018","019","019","026","022","014","020","018","006","011","013"
"MgO","1490","629","628","766","529","745","565","406","371","378","332","306","239","264"
"CaO","958","1007","1051","1113","875","1059","130","081","267","102","107","281","149","163"
"Na2O","103","285","187","121","271","128","158","160","187","171","174","202","177","167"
"K2O","073","025","025","054","064","045","193","480","238","265","426","301","231","117"
"P2O5","007","012","013","009","012","010","003","009","012","012","006","003","008","004"
"H2O+","125","032","007","079","047","127","087","153","079","070","110","099","081","056"
"H2O−","013","038","030","010","005","013","015","023","020","018","021","013","010","015"
"Total","9924","9697","9897","9931","9682","9941","9972","10030","9717","9758","9982","9828","9778","10046"
"MolarMg#","7170","4999","4600","5990","4504","5801","4480","4262","4223","4711","4346","3937","4276","4263"
"Traceelements(ppm)","","","","","","","","","","","","","",""
"Cs","05","07","02","09","02","05","11","58","18","25","07","06","10","05"
"Rb","150","40","60","40","120","130","750","2130","1030","950","840","990","640","370"
"Sr","109","241","124","103","149","193","106","104","157","167","155","179","142","136"
"Ba","530","115","134","91","183","130","490","534","363","660","1200","1040","555","350"
"La","45","71","56","48","95","77","669","605","637","667","589","406","559","637"
"Ce","12","21","16","14","29","19","131","132","132","140","124","72","114","127"
"Nd","6","12","11","8","16","9","52","56","58","57","51","26","52","54"
"Sm","190","306","303","210","351","280","841","875","1120","998","796","313","911","860"
"Eu","070","110","117","076","114","080","153","194","196","209","152","135","174","143"
"Tb","05","07","08","05","09","06","08","13","16","14","10","02","12","07"
"Yb","17","31","34","20","34","26","16","41","43","35","13","08","26","14"
"Lu","03","04","05","03","05","04","03","06","07","05","02","02","04","02"
"U","05","09","03","01","04","10","08","14","01","21","09","05","10","07"
"Th","06","18","10","09","29","15","186","210","193","207","220","69","179","187"
"Y","22","29","33","21","31","29","19","40","39","32","23","9","28","18"
"Nb","2","5","4","3","5","3","14","22","15","18","14","16","6","6"
"Zr","67","98","91","64","112","90","299","231","274","264","226","437","334","428"
"Hf","14","27","28","19","33","22","76","62","80","71","50","121","91","108"
"Sc","34","46","43","41","42","40","24","24","35","23","13","14","13","10"
"Ga","10","17","19","15","16","14","33","32","20","23","18","20","14","10"
"Co","67","56","62","51","53","40","35","43","34","28","19","41","17","14"
"Cr","1000","9","116","346","25","310","144","109","187","146","103","146","103","141"
