"Mineralsiteanalysis","Garnet","","","Biotite","","","Plagioclase",""
"wt%","","","","","","","",""
"","Riminleucosome","Core","RiminMelanosome","IncludedinGrt","Matrix","","ContactwithGrt","ContactwithGrt"
"","SVF707-13","SVF707-8","SVF707-1","SVF707-22","SVF707-24","","SVF707-6","SVF707-19"
"SiO2","3854","3803","3783","3794","3687","","6074","6155"
"TiO2","b008","b008","005","243","251","","0","001"
"Al2O3","2207","2203","2309","1839","1789","","2418","2373"
"Cr2O3","b006","b006","0","0","0","","0","0"
"FeO","2831","2823","282","1351","1544","","0","0"
"MnO","318","565","393","008","013","","0024","002"
"MgO","551","53","561","1306","1182","","0","0"
"CaO","343","193","268","0","0","","528","507"
"Na2O","0","002","0","02","017","","86","87"
"K2O","0","0","0","991","97","","033","019"
"F","0","0","0","0","0","","0","0"
"Cl","0","0","0","006","005","","0","0"
"H2O","0","0","0","446","437","","0","0"
"Total","10121","10141","10141","10002","9896","","9915","9932"
"Oxygen","24","24","24","18","18","","32","32"
"Si","299","297","293","508","505","","1089","1099"
"Ti","0","003","003","025","026","","0","0"
"Al","202","199","21","29","288","","51","499"
"Cr","0","0","0","0","0","","0","0"
"Fe2+","184","175","183","151","177","","0","0"
"Mn","021","037","026","001","002","","0","0"
"Mg","064","062","065","261","241","","0","0"
"Ca","029","016","022","0","0","","101","097"
"Na","0","0","0","005","005","","299","301"
"K","0","0","0","169","169","","007","004"
"XMg","","","","063","058","Ab","733","748"
"Xpyp","2216","2126","2262","","","An","248","241"
"Xalm","6064","603","6061","","","Or","18","11"
"Xgro","513","08","298","","","","",""
"Xsps","727","1286","899","","","","",""
