"Sample","Rocktype","AgeMa","Sm","Nd","147Sm/144Nd","143Nd/144Nd","143Nd/144Ndt","εNdt","TDM*","Rb","Sr","87Rb/86Sr","87Sr/86Sr","87Sr/86Srt"
"LomadeLasChacras","","","","","","","","","","","","","",""
"SVF715","Gt-amphibolite","470","3371","11710","01741","0512662","0512126","18","1042","44","2406","0053","0708363","07080"
"SVF716","Gt-amphibolite","470","3432","10926","01899","0512861","0512276","48","772","59","1244","0138","0706296","07054"
"SVF609","Amphibolite","470","2227","7405","01818","0512745","0512185","30","939","40","1032","0112","0706910","07062"
"SVF704","Amphibolite","470","3836","14808","01566","0512509","0512027","−01","1206","124","1492","0241","0709348","07077"
"SVF709","Migmatite","469","9979","52229","01155","0512036","0511681","−69","1722","2129","1039","5952","0751535","07118"
"SierradeValleFertil","","","","","","","","","","","","","",""
"SVF200","Gneiss","520","9161","46954","01179","0512035","0511633","−65","1733","808","1080","2192","0729749","07135"
"SVF581","Cordieritegneiss","470","9715","57667","01018","0512004","0511691","−67","1708","750","1060","2052","0731237","07175"
"SVF513","Garnetgneiss","470","10364","53614","01168","0512155","0511795","−46","1560","1028","1566","1902","0727495","07148"
"SVF611","Migmatite","470","10057","53365","01139","0512018","0511667","−71","1740","951","1672","1650","0727022","07160"
"SVF551","Btgneiss","470","3472","25092","00836","0511987","0511729","−59","1654","993","1788","1609","0722263","07115"
"SVF579","Cordieritegneiss","470","8909","46499","01158","0512042","0511685","−68","1715","643","1421","1311","0724197","07154"
"SVF515","Cordieritegneiss","470","10522","61717","01031","0512033","0511716","−62","1673","372","1362","0791","0716497","07112"
"SVF3131","Gt-migmatite","472","5051","28735","01063","0512021","0511692","−66","1704","646","1659","1128","0720818","07132"
"SVFplutonicsuite","","","","","","","","","","","","","",""
"SVF500","Gabbronorite","470","0145","0591","01484","0512390","0511933","−19","1354","05","990","0016","0709066","07090"
"SVF501","Hnbgabbro","470","1714","4692","02209","0512518","0511838","−38","1498","02","1680","0003","0709391","07094"
"SVF577†","Gabbronorite","470","10116","38666","01582","0512236","0511749","−55","1626","42","1953","0063","0709467","07090"
"SVF605","Coroniticgabbro","470","0128","0548","01414","0512227","0511792","−47","1565","01","1708","0002","0709041","07090"
"SVF502","Gabbro","470","1706","6302","01636","0512296","0511792","−47","1564","118","1444","0237","0711006","07094"
"SVF3017†","Hnbgabbro","470","1771","6973","01536","0512332","0511859","−34","1466","30","2310","0038","0707483","07072"
"SVF584","Gabbronorite","470","0734","2699","01644","0512360","0511854","−35","1475","21","1568","0038","0708475","07082"
"SVF571","Gabbro","470","1922","17469","00665","0511959","0511754","−54","1619","85","2555","0097","0711976","07113"
"SVF591†","Hbgabbro","470","2574","10869","01432","0512352","0511911","−24","1388","294","1975","0431","0709494","07066"
"SVF508","Tonalite","473","3339","20307","00994","0512084","0511776","−49","1584","588","1744","0977","0717246","07107"
"SVF532","Granodiorite","470","5313","25695","01250","0512213","0511828","−40","1512","967","1565","1789","0721020","07090"
"SVF521","Tonalite","470","6649","36155","01112","0512150","0511808","−44","1542","987","1606","1781","0721016","07091"
"SVF540","Granite","470","5921","27486","01302","0512228","0511827","−40","1514","1242","1374","2620","0726339","07088"
"SVF593†","Granodiorite","470","5261","23520","01352","0512217","0511801","−45","1552","1105","1226","2613","0727897","07104"
"SVF564","Leucogranite","470","4062","15714","01563","0512253","0511772","−51","1594","2449","373","19226","0833218","07045"
"SVF603","Pinkgranite","470","2468","11998","01243","0512192","0511809","−44","1540","1483","404","10701","0780507","07089"
