"Sample","Occurrence","Type","Age","[Rb] (ppm)","[Sr]","87Rb/86Sr","87Sr/86Sr","","[Sm]","[Nd]","147Sm/144Nd","143Nd/144Nd",""
"","","","(Ma)","","(ppm)","","","","(ppm)","(ppm)","","",""
"","","","","","","","Measured","Initial","","","","Measured","Initial"
"BR-15a","Intrusive","Ca-carb.","2","27","8466","0.0092","0.703340 (12)","0.703340","39.1","241","0.0981","0.512910 (07)","0.512908"
"BR-23a","Intrusive","Ca-carb.","2","1","8622","0.0003","0.703356 (08)","0.703356","26.8","166","0.0976","0.512912 (09)","0.512911"
"CY-95","Extrusive","Ca-carb.","0","5","6596","0.0022","0.703595 (06)","0.703595","46.4","311","0.0902","0.512792 (05)","0.512792"
"CY-222","Extrusive","Ca-carb.","0","2","4799","0.0012","0.703557 (07)","0.703557","61.5","405","0.0918","0.512816 (08)","0.512816"
"CY-238","Extrusive","Ca-carb.","0","8","6671","0.0035","0.703580 (06)","0.703580","50.5","341","0.0895","0.512801 (06)","0.512801"
