"Model","InputframesOutputframesMSEMAE","","",""
"Ours","20","80","98","573"
"SimVP","20","80","107","666"
"PDE-STD","20","80","123","948"
"Vid-ODE","20","80","134","912"
"PhyDnet","20","80","136","945"
