"ModelsizeFoFTTeDevDecodersDatasetdefaultSettings","","","",""
"Tiny(Ti)","2","2","2","I,II,VII,VIII"
"Small(S)","4","4","4","III,VI"
"Base(B)","8","8","8","IV,V"
