"Sample","87Sr/86Sr","±2σ","143Nd/144Nd","±2σ","176Hf/177Hf","±2σ"
"JG-3","0.705372","0.000012","0.512627","0.000004","0.282743","0.000007"
"JG-3","0.705384","0.000008","0.512619","0.000004","",""
"BHVO-2","0.703474","0.000012","0.512976","0.000006","0.283096","0.000004"
"JG-3","0.705392","0.000012","0.512627","0.000006","",""
"JG-3","0.705385","0.000010","0.512618","0.000006","0.282755","0.000005"
