"Type","host","","","","MME","","",""
"Sample","BJS12-04host","BJS12-06host","BJS12-08host","BJS12-10host","BJS12-04MME","BJS12-06MME","BJS12-08MME","BJS12-10MME"
"SiO2","643","625","660","639","571","547","483","483"
"TiO2","035","043","036","041","057","055","070","078"
"Al2O3","155","165","161","168","151","150","148","156"
"T","","","","","","","",""
"Fe2O3","423","488","358","457","780","917","1188","1181"
"MnO","009","009","007","009","020","024","030","030"
"MgO","258","310","255","284","557","653","812","770"
"CaO","433","547","519","521","676","812","867","824"
"Na2O","337","336","340","342","299","271","273","279"
"K2O","196","167","143","157","149","122","165","184"
"P2O5","007","011","009","009","009","011","014","012"
"LOI","113","113","104","116","126","094","105","138"
"Toltal","979","993","998","1001","989","993","984","989"
"Mg#","055","056","059","056","059","059","058","057"
"A/NK","100","096","097","100","080","073","067","073"
"A/CNK","202","226","225","229","232","259","237","238"
"Na2O/K2O","172","201","238","218","201","222","166","152"
"Sc","120","140","86","117","308","314","436","505"
"V","881","996","612","928","162","177","239","253"
"Cr","689","928","643","832","269","409","547","354"
"Ni","239","261","285","225","494","1002","1162","680"
"Rb","738","652","540","628","549","414","577","613"
"Sr","308","380","359","369","282","284","248","271"
"Y","107","119","70","103","262","298","369","434"
"Zr","122","979","947","121","759","128","586","288"
"Nb","534","530","359","458","572","494","629","699"
"Cs","278","291","207","289","179","243","334","258"
"Ba","666","548","439","566","397","385","438","520"
"La","225","87","84","98","113","95","124","101"
"Ce","420","169","149","201","291","293","364","307"
"Pr","380","207","163","220","428","461","560","511"
"Nd","121","845","607","833","184","211","252","243"
"Sm","211","199","125","180","437","520","628","675"
"Eu","058","063","047","059","107","134","157","157"
"Gd","195","202","121","177","438","505","624","713"
"Tb","028","031","018","027","069","078","097","115"
"Dy","173","194","112","165","436","495","613","735"
"Ho","036","040","024","034","092","103","128","155"
"Er","108","119","071","103","280","310","391","464"
"Tm","016","017","010","015","041","046","057","067"
"Yb","113","118","072","104","287","323","403","461"
"Lu","018","018","011","016","043","049","061","069"
"Hf","333","249","234","304","235","353","161","113"
"Ta","035","034","022","030","035","032","040","044"
"Pb","186","123","115","137","124","116","110","116"
"Th","135","301","285","415","170","064","262","285"
"U","116","062","043","056","041","029","051","070"
"Nb/Ta","152","158","161","151","164","152","157","159"
