"Sample","Mineral","Sizefarction(µm)","Plateauage(Ma±2σ)","39Ar(%)","MSWD","P","n"
"MontBradley","Muscovite","<212>125","1838±5","74","156","012","10"
"NicholsonsFind","Muscovite","<212>125","1826±5","98","159","008","14"
