"","","UTM","UTM","Age","Sm","Nd","","","","","TCHUR","TDM","T2
DM"
"Sample ID","Lithological unit","","","","","","143Nd/144Nd","147Sm/144Nd","143Nd/144Nd(i)","ɛNd(i)","","",""
"","","easting","northing","(Ma)","(ppm)","(ppm)","","","","","(Ga)","(Ga)","(Ga)"
"","Tickalara Metamorphics -","","","","","","","","","","","",""
"Kimb16-03","Metagranite","397363","8061557","1865","10.60","51.69","0.511737","0.1240","0.510216","-0.16","1.88","2.41","2.39"
"Kimb16-04","Tickalara Metamorphics -Basalt","393742","8054129","1865","2.91","9.69","0.512618","0.1814","0.510393","3.31","__","2.55","2.11"
"","Mabel Downs Tonalite - Mafic","","","","","","","","","","","",""
"Kimb16-08A","inclusions","391033","8062785","1832","4.20","24.91","0.511505","0.1020","0.510276","0.18","1.82","2.25","2.34"
"Kimb16-08B","Mabel Downs Tonalite","391033","8062785","1832","1.97","14.02","0.511283","0.0850","0.510258","-0.18","1.84","2.22","2.36"
"","Sally Downs Supersuite -","","","","","","","","","","","",""
"Kimb16-09","Granitodiorite","377914","8059399","1830","7.42","48.02","0.511348","0.0934","0.510230","-0.91","1.90","2.29","2.42"
"","Sally Downs Supersuite -","","","","","","","","","","","",""
"Kimb16-10","Gabbro","377930","8059355","1830","3.32","14.34","0.511951","0.1399","0.510276","-0.06","1.84","2.49","2.35"
"Kimb16-25","Lamboo Ultramafic","323947","7957031","1830","0.27","1.12","0.512080","0.1473","0.510306","0.71","1.72","2.48","2.29"
"Kimb16-27","Emul Gabbro","319508","7959303","1830","0.69","2.20","0.512639","0.1902","0.510349","1.55","__","3.39","2.22"
"Nic-04","Koongie Park -Mafic volcanics","__","__","1845","3.91","17.40","0.511900","0.1357","0.510254","0.06","1.84","2.46","2.36"
