"Sample","δ26Mga","2SDb","δ25Mg","2SD","Δ25Mg´c","87Sr/86Srd","2σ","143Nd/144Ndd","2σ","ɛNd"
"Basalts","","","","","","","","","",""
"T2-1","-0.35","0.06","-0.18","0.05","0.01","","","","",""
"I-75-1","-0.39","0.07","-0.20","0.04","0.00","0.704937","0.000012","0.512619","0.000008","-0.37"
"I-98-1","-0.39","0.04","-0.17","0.04","0.03","0.704952","0.000013","0.512604","0.000012","-0.66"
"I-99-1","-0.39","0.08","-0.20","0.04","0.01","0.704929","0.000012","0.512611","0.000008","-0.53"
"T2-5","-0.41","0.07","-0.20","0.04","0.02","0.705016","0.000009","0.512604","0.000012","-0.66"
"I-55-1","-0.36","0.02","-0.22","0.08","-0.03","0.705043","0.000008","0.512584","0.000009","-1.05"
"I-34-1","-0.40","0.09","-0.21","0.03","0.00","0.705063","0.000011","0.512600","0.000008","-0.74"
"I-47-1","-0.38","0.05","-0.22","0.08","-0.02","0.705054","0.000013","0.512595","0.000009","-0.84"
"I-48-1","-0.38","0.05","-0.22","0.05","-0.02","","","","",""
"I-50-1","-0.39","0.07","-0.19","0.07","0.02","","","","",""
"T9-2","-0.34","0.09","-0.18","0.05","0.00","0.704980","0.000011","0.512600","0.000010","-0.74"
"Jin-2","-0.40","0.07","-0.21","0.05","0.00","0.705017","0.000011","0.512589","0.000011 
PT","-0.96"
"Trachytes","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"8-24-15","-0.27","0.01","-0.13","0.02","0.01","0.704900","0.000008","0.512656 
I","0.000009","0.35"
"Repeat a","-0.25","0.03","-0.13","0.03","0.00","","","","",""
"8-24-6","0.20","0.09","0.12","0.04","0.02","0.705231","","0.512624 
R","0.000007","-0.27"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Repeat a 
8-24-7","0.19 
0.06","0.06 
0.09","0.11 
0.04","0.05 
0.04","0.01 
0.01","0.705169","","0.512623","0.000008","-0.29"
"Repeat a","0.11","0.02","0.06","0.03","0.00","","","","",""
"23","-0.09","0.07","-0.03","0.10","0.02","0.705013","USC","0.512605","0.000007","-0.64"
"Repeat a","-0.09","0.02","-0.04","0.03","0.00","","","","",""
"8-24-10","0.38","0.01","0.21","0.05","0.01","0.705242","","0.512630","0.000008","-0.16"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Repeat a 
008-7","0.37 
0.53","0.05 
0.06","","","","","0.000012","0.512602","0.000008","-0.70"
"Repeat a","0.47","0.04","","","","","","","",""
"I-15-1","0.31","0.03","","","","","0.000014","0.512604","0.000008","-0.66"
"Repeat b","0.32","0.02","","","","","","","",""
"Replicate","0.37","0.02","","","","","","","",""
"I-25-1","0.32","0.07","","","","","0.000011","0.512596","0.000011","-0.82"
"Repeat a","0.29","0.03","","","","","","","",""
"2-15-2","0.03","0.06","","","","","0.00001","0.512584","0.000009","-1.05"
"Repeat a","0.02","0.05","","","","","","","",""
"2(1)S","0.84","0.05","CEPTED MAN","","","","0.000014","0.512599","0.000008","-0.76"
"Repeat b","0.94","0.02","","","","","","","",""
"Replicate","0.94","0.04","","","","","","","",""
"I-7-2","0.74","0.09","","","","","0.000014","0.512600","0.000008","-0.74"
"Repeat b","0.69","0.05","","","","","","","",""
"Replicate","0.74","0.02","","","","","","","",""
"I-8-1","0.51","0.05","","","","","0.000015","0.512596","0.000010","-0.82"
"Repeat a","0.40","0.04","","","","","","","",""
"I-8-2","0.59","0.03","","","","","0.000014","0.512595","0.000007","-0.84"
"","","","","","","","","","",""
"Repeat b","0.68","0.04","","","","","","","",""
"I-101-1 
Repeat b","0.70 
0.79","0.03 
0.05 
AC","0.41","0.05","-0.01","","0.000015","0.512607","0.000009","-0.60"
"Standards","","","","","","","","","",""
"BCR-2","-0.20","0.09","-0.10","0.03","0.00","0.705000","0.000014","0.512652","0.000008",""
"BHVO-2","-0.27","0.06","-0.12","0.10","0.02","","","","",""
"AGV-2","-0.17","0.02","-0.08","0.04","0.01","","","","",""
"Repeat b","-0.14","0.07","-0.06","0.02","0.01","","","","",""
"GSP-2","0.03","0.02","0.01","0.05","-0.01","","","","",""
"Repeat b","0.07","0.02","0.04","0.01","0.00","","","","",""
