"Sample","T9-2","Jin-2","8-24-15","8-24-6","8-24-7","8-24-10","23","008-7","I-15-1","I-25-1"
"Locality","Heishigou","","Xiaobaishan","","","","Baitoushan","","",""
"Rocktypes","Basalts","","Trachytes","","","","","","",""
"Traceelements(ppm)","","","","","","","","","",""
"Li","53","63","112","77","125","135","102","396","227","266"
"Be","13","13","29","27","32","34","47","91","50","56"
"Sc","152","125","45","79","85","99","55","42","44","51"
"V","1628","1349","56","67","66","37","101","42","21","17"
"Cr","721","853","50","37","33","37","47","67","19","14"
"Co","307","319","30","12","11","09","29","","06","07"
"Ni","436","760","13","38","35","32","12","","05","14"
"Cu","268","313","34","30","30","26","91","PT","48","35"
"Zn","1222","1162","1091","1095","1059","1136","955","","1488","1632"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Rb","284","357","739","885","851","909","1102I","","1814","1725"
"Sr","8032","6714","4247","1590","1369","745","1445","96","199","155"
"Y","190","193","320","301","299","302","342R","654","410","482"
"","","","","","","","","","",""
"Zr","2156","2094","6048","4449","4531","","6047","15216","11583","9430"
"Nb","321","291","709","516","526","","696","1339","1280","1041"
"Cs","01","02","11","08","08","","12","28","06","06"
"Ba","6850","6770","13890","34226","33887","USC","4857","177","822","511"
"La","326","312","690","579","561","","528","1092","849","810"
"Ce","645","610","1033","1067","869","","929","2087","2169","1645"
"","","","","","","","","","",""
"","","","","","","","","","",""
"PrNd","84358","","","","","504","121457","234861","202763","193746"
"Sm","75","","","","","87","87","157","141","145"
"Eu","27","","","","","36","16","03","06","06"
"Gd","65","","","","","74","76","144","114","122"
"Tb","09","","","","","11","11","22","18","20"
"Dy","46","","","","","54","60","117","96","108"
"Ho","08","","","","","10","11","22","19","21"
"Er","19","","","","","27","30","57","48","54"
"Tm","03","","","","","04","04","08","07","08"
"Yb","15","","CEPTEDMAN","","","24","26","49","47","49"
"Lu","02","","","","","04","04","07","07","08"
"Hf","54","","","","","99","126","293","294","237"
"Ta","21","","","","","27","35","70","87","71"
"Pb","44","","","","","77","62","168","171","163"
"Th","35","","","","","58","82","170","225","197"
"U","05","","","","","13","17","34","28","24"
"Ratios","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"δEubNb/U","","425","545","415","437","058417","137422","006394","015462","013436"
"Zr/Hf","","396","504","488","487","488","479","519","394","397"
"","AC","","","","","","","","",""
