"","Table9CompilationofPbIsotopicCompositionsofMaﬁc-UltramaﬁcReferenceMaterialsa","","","","","","","","",""
"Sample","208Pb/204Pb","2SD","ppm","207Pb/204Pb","2SD","ppm","206Pb/204Pb","2SD","ppm","n"
"NIM-P","374381","668","1784","154587","180","1163","176122","1111","6310","4"
"BE-N","390164","48","122","156004","13","86","191958","59","308","9"
"Pinetal[2014]","389930","13","33","156060","3","19","191720","11","57","2"
"Chauveletal[2011]","39060","60","145","15602","60","363","19236","200","1029","2"
"Schuthetal[2011]","39013","290","731","15592","100","618","19224","150","792","3"
"Albare`deetal[2004]","390380","16","41","155994","50","321","192363","49","255","6"
"Bakeretal[2004]","39062","200","501","15601","30","207","19247","410","2107","5"
"BE-NLeached","400700","1759","4390","156489","62","393","202725","1599","7887","5"
"DNC-1","383701","113","295","156475","24","153","186869","123","659","15"
"BIR-1a","384975","55","143","156595","22","139","188499","31","163","5"
"Toddetal[2015]","384995","110","290","156600","33","210","188498","97","510","6"
"Pinetal[2014]","384968","11","29","156585","7","45","188533","21","111","3"
"Schuthetal[2011]","384960","27","70","156578","23","145","188518","21","113","2"
"Bakeretal[2004]","384979","60","156","156585","10","64","188498","50","265","3"
"BIR-1aLeached","383216","823","2147","155078","260","1675","186742","262","1400","5"
"Toddetal[2015]","383310","83","210","155570","626","4000","187304","529","2800","2"
"GSR-3","378562","20","53","154814","8","48","177595","45","251","5"
"GSR-3Leached","378526","75","199","154731","33","213","177961","61","341","5"
"NIM-N","375482","800","2130","156700","140","892","176378","971","5507","8"
"BHVO-2","382445","1207","3156","155409","179","1153","186475","1701","9121","4"
"Weisetal[2006]","382367","182","476","155334","94","605","186474","242","1298","5"
"BHVO-2Leached","382073","88","231","154890","33","212","186454","62","334","10"
"Toddetal[2015]","382029","86","239","154910","62","400","186394","108","580","4"
"Weisetal[2006]","381901","290","760","154826","115","740","186407","84","452","3"
"Bakeretal[2004]","382142","0","1","154930","4","20","186446","40","210","2"
"W-2","386321","89","232","156623","30","191","187497","45","238","11"
"LiandNiu[2003]","386969","320","827","156798","70","446","187606","40","213","5*"
"JB-3","382496","97","254","155355","29","189","182942","40","221","5"
"Pinetal[2014]","382506","12","31","155356","10","64","182952","6","33","3"
"Halldorssonetal[2008]","382559","164","429","155387","69","444","182972","84","459","3"
"Makishimaetal[2007]","382518","56","147","155355","18","117","182951","17","90","6"
"KuritaniandNakamura[2003]","38254","310","800","15534","110","717","18295","120","668","3"
"KuritaniandNakamura[2002]","382526","65","170","155366","23","148","182966","18","98","5"
"JB-3Leached","382496","54","140","155350","23","146","182941","17","92","5"
"ST05-03","357748","369","1031","153670","98","638","159018","391","2459","4"
"AN-G","335647","929","2769","146253","202","1384","139856","890","6362","9"
