"Table8","(continued)","","","","","","",""
"Sample","","RunNumber","176Hf/177Hf","2SE/SD","143Nd/144Nd","2SE/SD","87Sr/86Sr","2SE/SD"
"JB-3","","JB-31","0283206","5","0513052","7","0703424","7"
"","","JB-32","0283194","4","0513050","6","0703407","8"
"","","JB-33","0283188","5","0513061","6","0703415","8"
"","","JB-34","0283220","8","0513053","7","0703418","8"
"","","JB-35","0283217","7","0513054","8","0703411","8"
"","","AverageJB-3","0283205","28","0513054","8","0703415","13"
"","","ppm","n55","100","n55","16","n55","18"
"JB-3L","","JB-3La","0283211","6","0513062","7","0703413","8"
"","","JB-3Lb","0283005","5","0513056","10","0703421","8"
"","","JB-3Lc","0283234","6","0513070","9","0703409","8"
"","","JB-3Ld","0283240","7","0513060","8","0703417","8"
"","","JB-3Le","0283238","6","0513056","7","0703425","8"
"","","AverageJB-3L","0283231","27","0513061","12","0703417","12"
"","","ppm","n54","94","n55","23","n55","18"
"ST05-03","","ST05-031","0283760","9","0512334","6","0702795","9"
"","","ST05-032","0283646","8","0512338","8","0702787","8"
"","","ST05-033","0283013","5","0512336","6","0702787","10"
"","","ST05-034","0283729","4","","","0702796","8"
"","","ST05-035","0283691","7","0512340","9","0702796","8"
"","","AverageST05-03","0283706","98","0512337","5","0702792","9"
"","","ppm","n54","345","n54","10","n55","13"
"AN-G","","AN-G1","0283482","10","0512342","5","0702531","12"
"","","AN-G1rep","","","0512350","7","",""
"","","AN-G2","0283180","11","0512340","7","0702444","8"
"","","AN-G3","0283502","6","0512338","6","",""
"","","AN-G4","0283451","9","0512339","6","",""
"","","AN-G5","0283349","8","0512348","8","",""
"","","AN-G5rep","","","0512346","8","",""
"","","AN-G6","0283356","15","0512339","7","0702434","10"
"","","AN-G7","0283392","11","0512336","9","0702448","10"
"","","AN-G8","0283552","10","0512345","6","",""
"","","AN-G9","0283505","6","0512348","7","0702445","7"
"","","AN-G10","0283316","7","0512354","7","0702445","8"
"","","AverageAN-G","0283434","166","0512343","11","0702443","11"
"","","ppm","n58","585","n510","22","n55","15"
