"","Table8Hf-Nd-SrIsotopicAnalysesofMaﬁc-UltramaﬁcRockReferenceMaterialsa","","","","","",""
"Sample","RunNumber","176Hf/177Hf","2SE/SD","143Nd/144Nd","2SE/SD","87Sr/86Sr","2SE/SD"
"NIM-P","NIM-P1","","","","","",""
"","NIM-P2","0282454","8","0511503","8","0711854","8"
"","NIM-P2rep","","","0511490","7","",""
"","NIM-P3","0282473","5","0511503","8","0711869","7"
"","NIM-P4","0282524","4","0511497","9","0711844","7"
"","AverageNIM-P","0282463","27","0511501","7","0711856","25"
"","ppm","n52","96","n53","14","n53","36"
"BE-N","BE-N1","0282932","4","0512889","8","0703790","7"
"","BE-N2","0282939","6","0512873","8","0703798","7"
"","BE-N3","0282947","6","0512892","6","0703792","7"
"","BE-N3rep","","","","","0703794","8"
"","BE-N4","0282937","13","0512880","6","0703788","8"
"","BE-N5","0282922","6","0512884","6","0703804","7"
"","BE-N22/11","0282921","5","0512885","6","0703794","8"
"","BE-N6/05/14","0282922","5","0512885","7","",""
"","BE-N6/05/14rep","0282922","5","","","",""
"","BE-N10/07/14","0282911","10","0512871","6","",""
"","BE-N10/07/14rep","","","0512878","7","",""
"","BE-N4-11-14","0282928","6","0512879","6","0703793","7"
"","BE-N4-11-14rep","","","0512882","9","0703791","7"
"","AverageBE-N","0282929","22","0512882","14","0703794","11"
"","ppm","n59","79","n59","27","n57","16"
"BE-NL","BE-NLa","0282945","6","0512890","7","0703276","8"
"","BE-NLarep","0282924","5","","","",""
"","BE-NLb","0282936","10","0512888","7","0703302","8"
"","BE-NLbrep","0282923","5","","","",""
"","BE-NLc","0282927","6","0512878","6","0703271","8"
"","BE-NLd","0282939","6","0512888","8","0703283","7"
"","BE-NLdrep","0282941","7","","","",""
"","BE-NLe","0282938","5","0512883","6","0703263","8"
"","AverageBE-NL","0282937","13","0512885","9","0703279","30"
"","ppm","n55","46","n55","18","n55","43"
"DNC-1","DNC-1a","0282820","15","","","0705824","8"
"","DNC-1b","0282842","11","","","0705820","9"
"","DNC-1c","0282869","12","","","0705821","8"
"","DNC-11","0282844","6","0512480","7","0705823","8"
"","DNC-12","0282864","7","0512472","6","0705816","8"
"","DNC-13","0282857","5","0512460","7","0705816","8"
"","DNC-14","0282847","6","0512472","8","0705828","8"
"","DNC-15","0282858","7","0512482","10","0705830","8"
"","DNC-16","0282848","6","0512468","10","0705822","8"
"","DNC-17","0282853","7","0512475","9","0705822","9"
"","DNC-18","0282852","6","0512475","9","0705815","7"
"","DNC-19","0282850","6","0512473","6","0705817","8"
"","DNC-118/11","0282853","6","0512471","9","0705830","7"
"","DNC-16/05/14","0282851","6","0512470","6","0705805","8"
"","DNC-16/05/14rep","0282855","10","","","",""
"","DNC-14-11-14","0282856","7","0512473","8","0705829","8"
"","DNC-14-11-14rep","0282861","5","0512463","7","",""
"","DNC-14-11-14rep2","","","0512465","10","",""
"","AverageDNC-1","0282853","15","0512473","11","0705821","14"
"","ppm","n514","52","n512","22","n515","20"
"BIR-1a","BIR-1a1","0283259","12","0513097","8","0703108","8"
"","BIR-1a2","0283225","16","0513111","6","0703118","9"
"","BIR-1a2rep","","","","","0703102","8"
"","BIR-1a3","0283245","13","0513110","6","0703123","16"
"","BIR-1a4","0283260","8","0513107","8","0703099","8"
"","BIR-1a5","0283226","14","0513106","6","0703102","7"
"","AverageBIR-1a","0283243","34","0513106","11","0703110","21"
"","ppm","n55","120","n55","22","n55","29"
"BIR-1aL","BIR-1aLa","0283211","11","0513109","5","0703062","12"
"","BIR-1aLb","0283129","8","0513095","6","0703085","11"
"","BIR-1aLc","0283131","11","0513106","6","0703056","12"
"","BIR-1aLd","0283229","11","0513094","7","0703054","10"
"","BIR-1aLe","0283157","14","0513099","8","0703067","10"
"","AverageBIR-1aL","0283172","92","0513101","13","0703065","25"
"","ppm","n55","326","n55","26","n55","35"
