"Table7","(continued)","","","","","","",""
"Sample","","RunNumber","208Pb/204Pb","2SE/SD","207Pb/204Pb","2SE/SD","206Pb/204Pb","2SE/SD"
"GSR-3L","","GSR-3La","378512","25","154727","9","177969","11"
"","","GSR-3Lb","378467","26","154707","9","177961","11"
"","","GSR-3Lc","378537","31","154740","12","177979","12"
"","","GSR-3Ld","378564","32","154729","11","177985","13"
"","","GSR-3Le","378548","21","154752","8","177909","9"
"","","AverageGSR-3L","378526","75","154731","33","177961","61"
"","","ppm,n55","","199","","213","","341"
"NIM-N","","NIM-N1","375969","20","156702","9","176516","9"
"","","NIM-N2","375311","36","156702","9","176414","16"
"","","NIM-N3","375543","24","156821","9","177082","11"
"","","NIM-N4","374838","24","156634","16","175750","11"
"","","NIM-N5","374012","18","156503","7","174496","7"
"","","NIM-N6","377115","20","156909","7","177981","8"
"","","NIM-N6rep","377120","21","156908","7","177978","7"
"","","NIM-N7","375055","22","156601","9","175731","9"
"","","NIM-N8","375953","24","156757","8","176804","9"
"","","NIM-N9","375548","20","156658","7","176097","8"
"","","NIM-N10","375639","23","156722","9","176630","9"
"","","AverageNIM-N","375482","800","156700","140","176378","971"
"","","ppm,n58","","2130","","892","","5507"
"BHVO-2","","BHVO-2","381663","24","155371","8","185364","9"
"","","BHVO-2rep","381635","22","155358","9","185349","10"
"","","BHVO-22","382500","32","155387","13","186441","15"
"","","BHVO-27/01/13","382481","21","155338","8","186673","11"
"","","BHVO-27/01/13rep","382519","24","155347","9","186692","11"
"","","BHVO-230/05","383136","24","155540","9","187421","9"
"","","AverageBHVO-2","382445","1270","155409","179","186475","1701"
"","","ppm,n54","","3156","","1153","","9121"
"BHVO-2L","","BHVO2La","382120","24","154909","9","186408","10"
"","","BHVO2Lb","382091","28","154902","9","186449","11"
"","","BHVO2Lbrep","382013","26","154864","10","186413","12"
"","","BHVO2Lc","382101","25","154904","10","186510","11"
"","","BHVO2Ld","382074","24","154904","9","186480","15"
"","","BHVO2Le","382077","27","154897","10","186492","11"
"","","BHVO2Lerep","382080","24","154898","9","186487","10"
"","","BHVO2Lf","382126","28","154897","9","186447","10"
"","","BHVO2Lg","382045","28","154871","11","186450","13"
"","","BHVO2Lh","382092","26","154869","10","186436","11"
"","","BHVO2Li","381992","39","154870","14","186446","10"
"","","BHVO2Lirep","382007","24","154878","9","186451","11"
"","","BHVO2Lj","382012","29","154874","10","186425","12"
"","","AverageBHVO2L","382073","88","154890","33","186454","62"
"","","ppm,n59","","231","","212","","334"
"W-2","","W-2a","386315","29","156636","11","187512","13"
"","","W-2b","386316","25","156624","8","187502","12"
"","","W-2c","386235","29","156593","12","187468","13"
"","","W-2crep","386248","44","156595","15","187480","14"
"","","W-21","386328","22","156634","8","187508","9"
"","","W-22","386316","34","156618","13","187460","11"
"","","W-23","386388","28","156631","11","187516","11"
"","","W-24","386139","24","156621","8","187603","9"
"","","W-24rep","386176","24","156630","10","187611","10"
"","","W-25","386357","38","156635","16","187514","17"
"","","W-26","386363","14","156626","6","187513","7"
"","","W-27","386303","23","156637","8","187519","8"
"","","W-28","386355","25","156629","9","187465","12"
"","","W-29","386333","14","156619","8","187511","9"
"","","AverageW2","386321","89","156623","30","187497","45"
"","","ppm,n511","","232","","191","","238"
"JB-3","","JB-31","382513","32","155357","11","182946","12"
"","","JB-32","382520","38","155367","10","182957","17"
"","","JB-33","382449","20","155336","7","182918","10"
"","","JB-34","382556","23","155369","8","182965","11"
"","","JB-35","382443","37","155343","17","182925","20"
"","","AverageJB-3","382496","97","155355","29","182942","40"
"","","ppm,n55","","254","","189","","221"
