"","","","","","","wt%","","","","","mg/g",""
"Reference","","Issuing","","","","","","","","","",""
"Material","RockType","Organization","Locality","SiO2","MgO","CaO","Al2O3","Fe2OT3","Pb","Sr","Nd","Hf"
"NIM-P","Pyroxenite","MINTEK","BushveldComplex,","5110","2533","266","418","127","142a","32","186","<02a"
"","","","SouthAfrica","","","","","","","","",""
"BE-N","Melilite-bearing","SARM","Essey-la-c^ote,France","382","1315","1387","1007","1284","4","1370","67","56"
"","Nephelinite","","","","","","","","","","",""
"DNC-1","Dolerite","USGS","BraggtownQuarry,","4715","1013","1149","1834","997","63","144","52","104a"
"","","","NorthCarolina","","","","","","","","",""
"BIR-1a","OlivineTholeiite","USGS","Reykjavik,Iceland","4796","97","133","155","113","3","110","25","0582b"
"GSR-3","OlivineBasalt","IGGE","Hebei,China","4464","777","881","1383","134","5a","1100","54","65"
"NIM-N","Norite","MINTEK","BushveldComplex,SouthAfrica","5264","75","115","1650","897","22a","260","3","038a"
"BHVO-2","Basalt","USGS","HalemaumauCrater,Hawaii","499","723","114","135","123","165b","389","25","41"
"W-2","Diabase","USGS","BullRunQuarry,Virginia","5268","637","1086","1545","1083","93","190","13","244b"
"JB-3","High-alumina","GSJ","Fujivolcano,Japan","5096","519","979","172","1182","558","403","156","267"
"","Basalt","","","","","","","","","","",""
"ST05-03","Leucogabbro","PCIGR","StillwaterComplex,Montana","4883","306","149","2669","339","","","",""
"AN-G","Anorthosite","SARM","Fiskenaesset,Greenland","463","18","159","298","336","2","76","24","038"
