"Cond①","Cond②","Cond③","simpliﬁedboundforc","","","witnessparameters",""
"","","","","v=","1","",""
"","","","","c=","1","","c=1"
"①","②","¬③","⌊v/c⌋","","","",""
"","","","","s=","1","",""
"","","","","v=","2","",""
"","","","","c=","2","","c=1"
"①","¬②","③","⌊v/c⌋","","","",""
"","","","","s=","1","",""
"","","","","v=","9","",""
"","","","","c=","3","","c=4"
"①","¬②","¬③","⌊v/c⌋+1","","","",""
"","","","","s=","2","",""
"","","","","v=","3","",""
"","","","","c=","2","","c=2"
"¬①","②","③","","","","",""
"","","","⌊v/c⌋+1","","","",""
"","","","","s=","1","",""
"","","","","v=","5","",""
"","","","","c=","3","","c=2"
"¬①","②","¬③","⌊v/c⌋+1","","","",""
"","","","","s=","2","",""
"","","","","v=","5","",""
"","","","","c=","3","","c=2"
"¬①","¬②","③","⌊v/c⌋+1","","","",""
"","","","","s=","1","",""
"","","","","v=","14","",""
"","","","","c=","5","","c=4"
"¬①","¬②","¬③","⌊v/c⌋+2","","","",""
"","","","","s=","3","",""
