"SampleFormationLithology","","Material","Nd(ppm)","Sm(ppm)","147Sm/t44Nda","J43Nd/J44Ndb","endc","TDM(Ma)d"
"36A","ShumikhinAmphibolite","Wholerock2750","","708","015574","0512648","567","1033"
"","","Plagioclase","299","052","010447","0512529","",""
"","","Biotite","156","032","012581","0512580","",""
"","","Amphibole","2476","599","014627","0512624","",""
"21","","ShumikhinAm-Bio-GneissWholerock2228","","471","012781","0512591","624","807"
"","","Biotite","208","045","013138","0512698","",""
"","","Plagioclase","271","062","013887","0512632","",""
"15","ChemovAmphibolite","Wholerock","771","217","016974","0512889","689","564"
"20","ChemovPlagioschist","Wholerock5320","","757","008601","0512548","679","600"
