"Description","Sample No.","Rb (ppm)","Sr","87Rb/86Sr","87Sr/86Sr","Sm","Nd","147Sm/144Nd","143Nd/144Nd","87Sr/86Sri (t = 36 Ma)","ƐNd (0)","ƐNd (t)","TDM"
"","","","(ppm)","","","(ppm)","(ppm)","","","","","",""
"Quartz monzonite","GN-TO1","36.3","232.1","0.4588","0.705286","3.65","17.68","0.1257","0.512719","0.705","1.6","2.1","747"
"Quartz monzonite","GN-TO7","13.03","257.5","0.1484","0.70497","2.85","12.38","0.1398","0.512711","0.7048","1.4","1.86","906"
"Quartz monzonite","GN-TO17","11.25","265.7","0.1242","0.704963","3.19","14.18","0.1368","0.51269","0.7049","1","1.47","912"
"Quartz monzonite","GN-TO56","42.92","203.2","0.6194","0.705448","2.84","12.26","0.1405","0.512699","0.7051","1.2","1.62","941"
"Quartz monzonite","GN-TO22","14.8","282.6","0.1536","0.705062","3.24","15.49","0.1272","0.512703","0.7049","1.3","1.77","788"
"Quartz monzonite","GN-TO67","23.11","441","0.1536","0.704906","3.19","13.36","0.1449","0.512671","0.7048","0.6","1.07","1060"
"Quartz monzonite","GN-TO81","17.79","327.3","0.1594","0.704985","3.06","14.86","0.1253","0.512703","0.7049","1.3","1.79","771"
"Quartz monzonite","GN-TO12","38.65","218.6","0.5185","0.705384","3.04","17.29","0.1195","0.51271","0.7051","1.4","1.95","713"
"monzonite","GN-TO38","30.2","262.2","0.3377","0.705323","4.41","22.6","0.1187","0.512655","0.7051","0.3","0.89","794"
"monzonite","GN-TO42","25.09","274.7","0.2678","0.70532","4.2","20.75","0.123","0.512684","0.7051","0.9","1.42","784"
"monzonite","GN-TO47","27.53","313.4","0.2576","0.704947","3.78","18.15","0.1265","0.512702","0.7048","1.2","1.75","784"
"monzonite","GN-TO18","7.79","316.8","0.0721","0.704945","3.43","17.42","0.1197","0.512693","0.7049","1.1","1.62","742"
"monzonite","GN-TO6","23.66","354.8","0.1955","0.705037","2.86","14.36","0.1212","0.512648","0.7049","0.2","0.73","828"
"monzonite","GN-TO49","18.79","230","0.2396","0.70526","2.99","15.52","0.125","0.512661","0.7051","0.4","0.96","841"
"monzonite","GN-TO43","22.79","297.7","0.2245","0.705191","3.97","19.39","0.1246","0.512669","0.705","0.6","1.12","824"
"monzonite","GN-TO33","38.98","171","0.6684","0.705431","3.16","16.2","0.1185","0.512714","0.705","1.5","2.03","699"
"monzogranite","GN-TO13","32.96","176.5","0.5476","0.705294","2.97","15.53","0.1161","0.512705","0.705","1.3","1.87","696"
"monzogranite","GN-TO2","40.82","192.4","0.6221","0.705445","3.28","16.41","0.1215","0.512713","0.7051","1.5","2.01","722"
"monzodiorite","GN-TO5","5.99","510","0.0345","0.704851","3.83","19.33","0.1203","0.51263","0.7048","−0.2","0.39","849"
"monzo diorite","GN-TO4","17.87","406.4","0.129","0.704852","4.82","25.17","0.1164","0.512671","0.7047","0.6","1.21","751"
"monzodiorite","GN-TO3","5.83","365.5","0.0468","0.704784","2.78","14.13","0.1195","0.512666","0.7047","0.5","1.09","784"
