"Age (Ma)","176Yb/177Hf","176Lu/177Hf","176Hf/177Hf","±2σ","εHf (t)","±2σ","TDM1 (Ga)","TDM2 (Ga)","δ18O","2 se"
"Huanglishan granodiorite","","","","","","","","","",""
"115.4","0.024302","0.000966","0.282163","0.000015","− 19.0","0.3","1.54","2.37","5.84","0.22"
"1695","0.039587","0.001311","0.281591","0.000012","− 4.9","0.2","2.35","2.71","6.51","0.30"
"2360","0.008116","0.000303","0.281347","0.000014","+ 1.0","0.3","2.61","2.80","5.94","0.27"
"115.0","0.018670","0.000726","0.282359","0.000013","− 12.0","0.2","1.25","1.94","5.39","0.23"
"2035","0.035910","0.001382","0.282214","0.000015","− 17.2","0.3","1.48","2.26","5.22","0.28"
"115.3","0.058366","0.002456","0.282257","0.000014","− 16.0","0.2","1.46","2.18","5.53","0.24"
"115.8","0.030830","0.001169","0.282143","0.000014","− 19.9","0.2","1.57","2.42","5.61","0.35"
"117.6","0.034626","0.001294","0.282185","0.000014","− 18.5","0.2","1.52","2.33","5.86","0.38"
"2238","0.020228","0.000765","0.281324","0.000013","− 2.3","0.2","2.68","2.94","6.07","0.30"
"115.4","0.002734","0.000106","0.282232","0.000012","− 16.5","0.2","1.41","2.22","4.91","0.18"
"116.1","0.026991","0.001031","0.282096","0.000014","− 21.3","0.3","1.63","2.52","6.24","0.20"
"114.6","0.034969","0.001386","0.282203","0.000019","− 17.6","0.3","1.50","2.29","6.39","0.32"
"115.1","0.032352","0.001212","0.282178","0.000014","− 18.7","0.3","1.52","2.35","5.89","0.26"
"116.9","0.031807","0.001210","0.282148","0.000011","− 19.7","0.2","1.57","2.41","5.29","0.29"
"113.3","0.035812","0.001379","0.282239","0.000013","− 16.5","0.2","1.44","2.21","6.32","0.28"
"111.3","0.002475","0.000098","0.282214","0.000014","− 17.4","0.2","1.43","2.26","5.92","0.21"
"109.3","0.037108","0.001371","0.282426","0.000019","− 10.0","0.3","1.18","1.80","6.18","0.33"
"2629","0.004374","0.000171","0.281310","0.000013","+ 7.0","0.2","2.65","2.67","6.39","0.34"
"Jingshan granodiorite","","","","","","","","","",""
"120.9","","","","","","","","","5.42","0.30"
"119.5","","","","","","","","","5.62","0.27"
"128.5","","","","","","","","","5.90","0.39"
"119.8","","","","","","","","","5.63","0.22"
"118.2","","","","","","","","","5.10","0.28"
"119.9","","","","","","","","","5.32","0.29"
"116.5","","","","","","","","","5.31","0.42"
"Changhuaiwei granite","","","","","","","","","",""
"113.6","0.032189","0.001242","0.282104","0.000013","− 21.4","0.2","1.63","2.51","5.77","0.24"
"113.0","0.034730","0.001280","0.282165","0.000020","− 19.1","0.4","1.55","2.38","5.84","0.26"
"109.1","0.031962","0.001186","0.282238","0.000017","− 16.6","0.3","1.44","2.22","5.89","0.33"
"111.4","0.029452","0.001089","0.282127","0.000018","− 20.6","0.3","1.59","2.46","5.73","0.31"
"97.5","0.032461","0.001218","0.282212","0.000016","− 17.2","0.3","1.48","2.26","5.48","0.28"
"110.4","0.029741","0.001110","0.282058","0.000013","− 22.4","0.2","1.69","2.60","5.12","0.29"
"113.4","0.020018","0.000770","0.282075","0.000015","− 22.2","0.3","1.65","2.57","6.18","0.23"
"115.3","0.035379","0.001288","0.282187","0.000016","− 18.4","0.3","1.51","2.33","6.12","0.29"
"112.0","0.033304","0.001267","0.282139","0.000015","− 19.9","0.3","1.58","2.43","5.89","0.45"
"112.4","0.027077","0.001011","0.282217","0.000015","− 17.1","0.3","1.46","2.25","5.73","0.32"
