"Pluton","Rocktype","Comments","Age(Ma)","Inheritedzircons","Method","Source"
"Jingshan","Granodiorite","Adakitic","118±1","187Ga","SIMS","Thisstudy"
"Jingshan","porphyrygranodiorite","Adakitic","123±4","187Ga","SHRIMP","Thisstudy"
"Huanglishan","Granodiorite","Adakitic","115±1","156–263Ga","SIMS","Thisstudy"
"","","","118±3","170–273Ga","LA-ICP-MS","Thisstudy"
"Huaiguang","Granodiorite","Adakitic","130±2","181–344Ga","SHRIMP","Yangetal,2010"
"Changhuaiwei","Monzogranite","Normal","112±1","–","SIMS","Thisstudy"
"Caoshan","Monzogranite","Normal","112±2","–","LA-ICP-MS","Yangetal,2010"
"Jingshan","Diabase","Maﬁc","1118±06","–","Ar–Ar","Thisstudy"
"Xilushan","Seynogranite","“Indeﬁnite”","129±5","168–528Ma","LA-ICP-MS","Yangetal,2010"
