"Sample","Mineral","87Sr/86Sr","143Nd/144Nd","Sm","Nd","147Sm/144Nd","eNd","TDM(Ga)","206Pb/204Pb","207Pb/204Pb","208Pb/204Pb"
"Anhydrousspinel","","lherzolites","","","","","","","","",""
"HA7C","Cpx","0702712(16)","0513170(9)","1700","4120","02492","1037","023","187047","155336","385724"
"TC01","Cpx","0702016(14)","0513333(9)","2480","5930","02526","1355","083","178601","154343","373780"
"DM827","Cpx","0702070(14)","0513394(10)","2070","4850","02578","1474","094","186771","155200","386785"
"Hydrousspinel","lherzolites","","","","","","","","","",""
"HA1B","Cpx","0702875(17)","0513125(8)","2420","6020","02428","949","005","181180","154961","378623"
"HA6B","Cpx","0701796(16)","0513478(18)","2240","5120","02643","1638","107","182479","154374","381340"
"TC02","Cpx","0702510(14)","","2780","5310","03162","","","196803","156385","394649"
"HA7A","Cpx","0702945(14)","0513029(18)","1540","5470","01700","762","031","194267","155991","393483"
"","Amph","0703019(15)","0512992(16)","2870","10290","01685","760","030","194178","155946","393330"
