"","","repetition","credibility","","","logical","","emotional"
"Model","NQ1","NQ2","NQ1","NQ2","NQ1","NQ2","NQ1","NQ2"
"ChatGPT","638","434","599","489","669","586","616","406"
"GPT-4","140","35","453","151","504","164","280","81"
"Llama-2-7B-chat","812","793","848","855","862","887","810","837"
"Vicuna-v15-7B","569","480","732","588","742","640","645","563"
"Vicuna-v15-13B","556","303","583","467","654","412","535","314"
