"","","Vestfold,Hortenprofile","","","","","","","",""
"","co","co","co","co","co","co","APT","Aph","APT","Aph"
"","F8b","F8c","F9","FlO","Fll","F12","F13","F14","F15","F16"
"Major","elements(wt%)","","","","","","","","",""
"SiO,","4648","4541","4744","4640","4534","4581","4431","4490","4432","4485"
"TiO1","436","424","463","435","468","491","481","468","485","479"
"A12o3","958","872","1069","932","1065","1020","946","923","960","955"
"Fe,Oi","1257","1312","1296","1280","1304","1332","1351","1291","1382","1316"
"MnO","013","015","013","015","015","021","016","014","015","013"
"M@","696","829","608","755","582","771","810","728","787","788"
"CaO","1149","1199","1015","1232","978","1031","1159","1139","1058","1066"
"Na,O","194","174","240","193","219","208","170","158","171","172"
"K,O","163","142","203","145","200","174","192","220","191","214"
"p2°5","054","049","062","053","063","067","075","070","077","072"
"LOI","226","210","205","289","308","191","199","296","214","307"
"","-","-","","","","","","","",""
"Sum","9794","9833","9918","9969","9736","9887","9830","9191","9112","9867"
"Normqtz","059","_","023","_","005","","","_","",""
"Normne","-","-","","","","_","","","",""
"","Traceelements(ppm)","","","","","","","","",""
"Se","298","273","312","319","246","215","298","289","299","283"
"Cr","472","411","465","465","367","352","404","359","383","394"
"Co","416","452","530","505","449","512","509","413","509","525"
"Ni","168","166","182","183","116","149","157","135","147","152"
"Rb","354","442","371","309","461","421","447","508","322","427"
"Sr","836","958","716","802","946","921","983","1150","1189","986"
"Zr","294","313","241","298","264","361","386","401","361","372"
"CS","010","025","014","018","012","003","026","023","019","022"
"Ba","520","636","430","487","639","532","631","713","167","641"
"La","630","116","565","599","714","735","194","769","817","149"
"Ce","131","148","126","126","155","152","168","164","171","162"
"Sm","130","143","124","129","143","165","168","165","175","162"
"ELI","31","41","35","36","42","45","47","47","49","46"
"Tb","119","126","110","119","126","159","153","146","151","150"
"Yb","21","29","26","30","33","34","33","33","38","31"
"Lu","028","033","028","029","035","033","035","036","035","035"
"Hf","93","102","86","87","101","113","113","109","117","110"
"Ta","462","533","417","458","531","582","686","645","699","640"
"Th","644","152","614","641","191","708","815","808","867","783"
"U","16","25","16","10","13","21","16","23","23","21"
"Pb","","","","","","","","","638","588"
