"Sample","Rb","Sr","s’Rb/%r","“Sr/ 
‘%r","Sm","Nd","‘47Sm/‘44Nd","143Nd/1MNd","","+.r","ENd"
"","(w-4","(mm)","","flu","@pm)","(mm)","","flu","","",""
"","Vestfold,  Horten  profile","","","","","","","","","",""
"FA2a","33.7","825","0.1183","0.704580  f  16","13.8","73.2","0.1149","0.512595  &  4","","-1.0","+ 2.1"
"FA3  =","35.7","1047","0.0985","0.704514  f  14","16.4","87.3","0.1142","0.512606  +","4","-0.7","+ 2.4"
"Fl","10.7","907","0.0340","0.704022  + 
8","14.3","74.9","0.1163","0.512544+","3","-  3.8","+3.0"
"F4","28.2","721","0.1131","0.704505  * 
7","14.5","76.0","0.1162","0.512618  f","9","-  1.8","+2.5"
"F6","22.7","937","0.06993","0.704073  f 
7","14.5","77.9","0.1134","0.512606  f","3","-5.3","+  2.4"
"F8A  =","36.4","911","0.1156","0.705061  f  10","13.5","74.8","0.1096","0.512552  *","6","+6.0","+ 1.5"
"F8b","34.0","799","0.1231","0.705052  f 
8","13.4","72.6","0.1124","0.512570  +","5","+5.4","+1.7"
"F8c","43.4","916","0.1372","0.705091  f 
7","14.4","79.7","0.1101","0.512595  *  20","","+ 5.1","+2.3"
"F9","34.7","709","0.1414","0.705129  f  10","12.8","68.6","0.1139","0.512549  f","3","+5.4","+1.3"
"FlO","29.6","752","0.1140","0.705039  * 
7","13.2","70.9","0.1132","0.512549  f","6","+5.8","+  1.3"
"Fll","44.7","902","0.1432","0.705204  f 
9","14.5","81.1","0.1091","0.512507  +","2","+6.3","+ 0.62"
"F12","39.6","871","0.1317","0.704460  f 
8","16.6","87.9","0.1151","0.512595  +","3","-3.5","+2.1"
"F13","42.9","1131","0.1097","0.703871+ 
9","17.0","92.6","0.1121","0.512665  f","3","-  10.6","+  3.6"
"F14","48.7","1084","0.1302","0.704144  f 
7","16.7","89.5","0.1134","0.512641  f","3","-  7.9","+  3.1"
"F15  a","32.2","1189","0.0783","0.704037  +  10","17.7","96.1","0.1120","0.512689  +","6","-6.3","+4.1"
"F16  a","42.7","986","0.1254","0.704364  f  10","16.5","88.8","0.1129","0.512689  &  5","","-4.5","+4.0"
"F17","38.1","1035","0.1066","0.703940  f 
9","17.0","91.6","0.1126","0.512656  f","3","-9.4","+  3.4"
"F18","29.3","948","0.0839","0.703963  5  10","8.0","44.1","0.1102","0.512621  f","3","-7.7","+  2.8"
"F21  a","98.3","1615","0.1762","0.704736  f  10","24.8","144.9","0.1043","0.512631  f","6","-2.3","+  3.2"
"F22","112.9","1693","0.1929","0.704810  f  30","24.7","140.1","0.1073","0.512577  f","4","-  2.3","+2.1"
"F23  a","104.9","1649","0.1844","0.704770  f  10","23.5","136.1","0.1051","0.512616  +","5","-  2.3","+  2.9"
"F24","106.6","1591","0.1937","0.704745  f 
8","24.1","138.7","0.1059","0.512614  +","2","-3.3","+ 2.8"
"F26","101.7","1704","0.1726","0.704550  +  30","24.0","140.2","0.1045","0.512582  +","9","-4.7","+2.3"
"FX2  a","44.9","982","0.1321","0.705143  f  10","11.6","63.5","0.1117","0.512522  +","9","+ 6.1","+0.8"
"FZ2  a","22.8","656","0.1005","0.704315  +  10","8.7","45.1","0.1171","0.51267 
+","6","-  3.7","+  3.5"
"","Vestfold  Holmestrand profile","","","","","","","","","",""
"0B102","24.8","174","0.3992","0.70653  + 
8","","","","","","+9.6",""
"OBlOl  b","14.5","2393","0.0175","0.70571  + 
7","9.5","57.8","0.0995","0.511813  *  15","","+ 21.0","+ 2.9"
"OBlOO","45.0","1002","0.1299","0.70451  f 
3","16.4","90.0","0.1112","0.512610  f","5","-  2.7","+ 2.6"
"OB99","28.7","921","0.0901","0.70492  * 
3","11.1","60.9","0.1105","0.512648  f","7","+5.5","+  3.3"
"OB98","28.5","778","0.1070","0.70496  + 
8","","","","","","+  5.1",""
"OB97","62.9","1452","0.1244","0.70490  + 
6","","","","","","+3.2",""
"OB96","18.2","573","0.0921","0.70433  * 
3","7.9","40.5","0.1182","0.512695  f","4","-  3.0","+  3.9"
"Krokskogen","","","","","","","","","","",""
"OB8  a","13.0","372","0.1012","0.70572  &  5","","","","","","+  16.2",""
"OB87  b","","","","","","","","","","+  18.0","-0.7"
