"","","Vanilla","DNDM"
"","Perplexity","1,46575",""
"","","","60002"
"text8","","",""
"","Time(s)","1359",""
"","","","311"
"","Perplexity","80178",""
"","","","55678"
"enwik8","","",""
"","Time(s)","6028",""
"","","","474"
