"Steps","DNDM-k-multi","DNDM-k-absorb","DNDM-multi","DNDM-absorb"
"50","3160","3174","3039","2969"
"1000","3359","3437","3287","3352"
"","3386","3441","3291","3342"
"∞","","","",""
